sku,slug,model,category,parameter,value,unit,notes,url,updated
КОН-BX_5A2WIFI-456,bx-5a2wifi,BX 5A2WIFI,Контроллеры BX-5x,Количество рядов и тип хаба:,4 разъема T12; 2 разъема T08,,,http://onbon.ru/product/controllers-bx5/bx-5a2wifi,2026-03-28 15:53:16
КОН-BX_5A2WIFI-456,bx-5a2wifi,BX 5A2WIFI,Контроллеры BX-5x,Количество рядов и тип хаба:,8 разъемов T12; 4 разъема T08,,,http://onbon.ru/product/controllers-bx5/bx-5a2wifi,2026-03-28 15:53:16
КОН-BX_5A2WIFI-433,bx-5a2wifi,BX 5A2WIFI,Контроллеры BX-5x,Максимальная мощность:,"≤ 0,6 Вт",W,,http://onbon.ru/product/controllers-bx5/bx-5a2wifi,2026-03-28 15:53:16
КОН-BX_5A2WIFI-433,bx-5a2wifi,BX 5A2WIFI,Контроллеры BX-5x,Максимальная мощность:,≤2 Вт,W,,http://onbon.ru/product/controllers-bx5/bx-5a2wifi,2026-03-28 15:53:16
КОН-BX_5A2WIFI-224,bx-5a2wifi,BX 5A2WIFI,Контроллеры BX-5x,Напряжение:,5V,V,3.5V~6V,http://onbon.ru/product/controllers-bx5/bx-5a2wifi,2026-03-28 15:53:16
КОН-BX_5A2WIFI-224,bx-5a2wifi,BX 5A2WIFI,Контроллеры BX-5x,Напряжение:,5V,V,4.5V~6V,http://onbon.ru/product/controllers-bx5/bx-5a2wifi,2026-03-28 15:53:16
КОН-BX_5A2WIFI-232,bx-5a2wifi,BX 5A2WIFI,Контроллеры BX-5x,Память:,2 Mb,,,http://onbon.ru/product/controllers-bx5/bx-5a2wifi,2026-03-28 15:53:16
КОН-BX_5A2WIFI-920,bx-5a2wifi,BX 5A2WIFI,Контроллеры BX-5x,Площадь управления:,Один цвет 3200*16 2048*32 1344*48 1024*64; Два цвета 2048*16 1024*32 672*48 512*64,,,http://onbon.ru/product/controllers-bx5/bx-5a2wifi,2026-03-28 15:53:16
КОН-BX_5A2WIFI-920,bx-5a2wifi,BX 5A2WIFI,Контроллеры BX-5x,Площадь управления:,Один цвет 1024*16 512*32; Два цвета 512*16 256*32,,,http://onbon.ru/product/controllers-bx5/bx-5a2wifi,2026-03-28 15:53:16
КОН-BX_5A2WIFI-920,bx-5a2wifi,BX 5A2WIFI,Контроллеры BX-5x,Площадь управления:,Один цвет 640*16 320*32; Два цвета 320*16 160*32,,,http://onbon.ru/product/controllers-bx5/bx-5a2wifi,2026-03-28 15:53:16
КОН-BX_5A2WIFI-920,bx-5a2wifi,BX 5A2WIFI,Контроллеры BX-5x,Площадь управления:,Один цвет 3200*32 2048*64 1344*96 1024*128; Два цвета 2048*32 1024*64 672*96 512*128,,,http://onbon.ru/product/controllers-bx5/bx-5a2wifi,2026-03-28 15:53:16
КОН-BX_5A2WIFI-558,bx-5a2wifi,BX 5A2WIFI,Контроллеры BX-5x,Поддержка датчиков:,"Температура, Температура и влажность, ИК",,,http://onbon.ru/product/controllers-bx5/bx-5a2wifi,2026-03-28 15:53:16
КОН-BX_5A2WIFI-942,bx-5a2wifi,BX 5A2WIFI,Контроллеры BX-5x,Режим соединения:,"RS-232, RS-485 (опция), Wi-Fi +",W,"TCP/IP/UDP, Ethernet 100 М",http://onbon.ru/product/controllers-bx5/bx-5a2wifi,2026-03-28 15:53:16
КОН-BX_5A2WIFI-942,bx-5a2wifi,BX 5A2WIFI,Контроллеры BX-5x,Режим соединения:,"Ethernet, USB",,,http://onbon.ru/product/controllers-bx5/bx-5a2wifi,2026-03-28 15:53:16
КОН-BX_5A2WIFI-942,bx-5a2wifi,BX 5A2WIFI,Контроллеры BX-5x,Режим соединения:,USB,,,http://onbon.ru/product/controllers-bx5/bx-5a2wifi,2026-03-28 15:53:16
КОН-BX_5A2WIFI-495,bx-5a2wifi,BX 5A2WIFI,Контроллеры BX-5x,Тип поддерживаемых модулей:,"Все монохромные, двухцветные",,,http://onbon.ru/product/controllers-bx5/bx-5a2wifi,2026-03-28 15:53:16
КОН-BX_5A2WIFI-495,bx-5a2wifi,BX 5A2WIFI,Контроллеры BX-5x,Тип поддерживаемых модулей:,Все монохромные и двухцветные,,,http://onbon.ru/product/controllers-bx5/bx-5a2wifi,2026-03-28 15:53:16
