sku,slug,model,category,parameter,value,unit,notes,url,updated
КОН-BX_5A4RF-456,bx-5a4rf,BX 5A4RF,Контроллеры BX-5x,Количество рядов и тип хаба:,1 разъем 50PIN,,,http://onbon.ru/product/controllers-bx5/bx-5a4rf,2026-03-28 15:53:18
КОН-BX_5A4RF-456,bx-5a4rf,BX 5A4RF,Контроллеры BX-5x,Количество рядов и тип хаба:,4 разъема T12; 2 разъема T08,,,http://onbon.ru/product/controllers-bx5/bx-5a4rf,2026-03-28 15:53:18
КОН-BX_5A4RF-433,bx-5a4rf,BX 5A4RF,Контроллеры BX-5x,Максимальная мощность:,≤2 Вт,W,,http://onbon.ru/product/controllers-bx5/bx-5a4rf,2026-03-28 15:53:18
КОН-BX_5A4RF-433,bx-5a4rf,BX 5A4RF,Контроллеры BX-5x,Максимальная мощность:,≤1.8 Вт,W,,http://onbon.ru/product/controllers-bx5/bx-5a4rf,2026-03-28 15:53:18
КОН-BX_5A4RF-433,bx-5a4rf,BX 5A4RF,Контроллеры BX-5x,Максимальная мощность:,≤ 1.8 Вт,W,,http://onbon.ru/product/controllers-bx5/bx-5a4rf,2026-03-28 15:53:18
КОН-BX_5A4RF-436,bx-5a4rf,BX 5A4RF,Контроллеры BX-5x,Максимальная передача расстояние,200M,,Предлагая расстояние : ≤ 100M,http://onbon.ru/product/controllers-bx5/bx-5a4rf,2026-03-28 15:53:18
КОН-BX_5A4RF-224,bx-5a4rf,BX 5A4RF,Контроллеры BX-5x,Напряжение:,5,,3.5V~6V,http://onbon.ru/product/controllers-bx5/bx-5a4rf,2026-03-28 15:53:18
КОН-BX_5A4RF-224,bx-5a4rf,BX 5A4RF,Контроллеры BX-5x,Напряжение:,5V,V,4.5V~6V,http://onbon.ru/product/controllers-bx5/bx-5a4rf,2026-03-28 15:53:18
КОН-BX_5A4RF-232,bx-5a4rf,BX 5A4RF,Контроллеры BX-5x,Память:,2 Mb,,,http://onbon.ru/product/controllers-bx5/bx-5a4rf,2026-03-28 15:53:18
КОН-BX_5A4RF-920,bx-5a4rf,BX 5A4RF,Контроллеры BX-5x,Площадь управления:,Один цвет 1024*16 512*32; Два цвета 512*16 256*32,,,http://onbon.ru/product/controllers-bx5/bx-5a4rf,2026-03-28 15:53:18
КОН-BX_5A4RF-920,bx-5a4rf,BX 5A4RF,Контроллеры BX-5x,Площадь управления:,Один цвет 2048*64 1024*128 672*192 512*256; Два цвета 1024*64 512*128 336*192 256*256,,,http://onbon.ru/product/controllers-bx5/bx-5a4rf,2026-03-28 15:53:18
КОН-BX_5A4RF-920,bx-5a4rf,BX 5A4RF,Контроллеры BX-5x,Площадь управления:,Один цвет 2048*16 1024*32 672*48 512*64; Два цвета 1024*16 512*32 336*48 256*64,,,http://onbon.ru/product/controllers-bx5/bx-5a4rf,2026-03-28 15:53:18
КОН-BX_5A4RF-558,bx-5a4rf,BX 5A4RF,Контроллеры BX-5x,Поддержка датчиков:,"Температура, Температура и влажность, ИК",,,http://onbon.ru/product/controllers-bx5/bx-5a4rf,2026-03-28 15:53:18
КОН-BX_5A4RF-582,bx-5a4rf,BX 5A4RF,Контроллеры BX-5x,Работа RF,2.412GHz — 2.484GHz,,,http://onbon.ru/product/controllers-bx5/bx-5a4rf,2026-03-28 15:53:18
КОН-BX_5A4RF-942,bx-5a4rf,BX 5A4RF,Контроллеры BX-5x,Режим соединения:,USB,,,http://onbon.ru/product/controllers-bx5/bx-5a4rf,2026-03-28 15:53:18
КОН-BX_5A4RF-942,bx-5a4rf,BX 5A4RF,Контроллеры BX-5x,Режим соединения:,Ethernet,,,http://onbon.ru/product/controllers-bx5/bx-5a4rf,2026-03-28 15:53:18
КОН-BX_5A4RF-915,bx-5a4rf,BX 5A4RF,Контроллеры BX-5x,Стандарт беспроводной связи,802.11b / G / N,,,http://onbon.ru/product/controllers-bx5/bx-5a4rf,2026-03-28 15:53:18
КОН-BX_5A4RF-495,bx-5a4rf,BX 5A4RF,Контроллеры BX-5x,Тип поддерживаемых модулей:,Все монохромные и двухцветные,,,http://onbon.ru/product/controllers-bx5/bx-5a4rf,2026-03-28 15:53:18
КОН-BX_5A4RF-681,bx-5a4rf,BX 5A4RF,Контроллеры BX-5x,Чувствительность,≤-,,"802.11b : — 89dBm , 802.11g : — 81dBm , 802.11n : -71dBm",http://onbon.ru/product/controllers-bx5/bx-5a4rf,2026-03-28 15:53:18
