sku,slug,model,category,parameter,value,unit,notes,url,updated
КОН-BX_5ALG-433,bx-5alg,BX 5ALG,Контроллеры BX-5x,Максимальная мощность:,≤ 2 Вт,W,,http://onbon.ru/product/controllers-bx5/bx-5alg,2026-03-28 15:52:19
КОН-BX_5ALG-433,bx-5alg,BX 5ALG,Контроллеры BX-5x,Максимальная мощность:,≤1.8 Вт,W,,http://onbon.ru/product/controllers-bx5/bx-5alg,2026-03-28 15:52:19
КОН-BX_5ALG-433,bx-5alg,BX 5ALG,Контроллеры BX-5x,Максимальная мощность:,≤2 Вт,W,,http://onbon.ru/product/controllers-bx5/bx-5alg,2026-03-28 15:52:19
КОН-BX_5ALG-433,bx-5alg,BX 5ALG,Контроллеры BX-5x,Максимальная мощность:,≤2.5 Вт,W,,http://onbon.ru/product/controllers-bx5/bx-5alg,2026-03-28 15:52:19
КОН-BX_5ALG-224,bx-5alg,BX 5ALG,Контроллеры BX-5x,Напряжение:,5V,V,4.5V~6V,http://onbon.ru/product/controllers-bx5/bx-5alg,2026-03-28 15:52:19
КОН-BX_5ALG-232,bx-5alg,BX 5ALG,Контроллеры BX-5x,Память:,2 Mb,,,http://onbon.ru/product/controllers-bx5/bx-5alg,2026-03-28 15:52:19
КОН-BX_5ALG-232,bx-5alg,BX 5ALG,Контроллеры BX-5x,Память:,4 Mb,,,http://onbon.ru/product/controllers-bx5/bx-5alg,2026-03-28 15:52:19
КОН-BX_5ALG-920,bx-5alg,BX 5ALG,Контроллеры BX-5x,Площадь управления:,Один цвет 640*16 320*32; Два цвета 320*16 160*32,,,http://onbon.ru/product/controllers-bx5/bx-5alg,2026-03-28 15:52:19
КОН-BX_5ALG-920,bx-5alg,BX 5ALG,Контроллеры BX-5x,Площадь управления:,Один цвет 3200*16 3200*32 2688*48 2048*64; Два цвета 3200*16 2048*32 1344*48 1024*64,,,http://onbon.ru/product/controllers-bx5/bx-5alg,2026-03-28 15:52:19
КОН-BX_5ALG-920,bx-5alg,BX 5ALG,Контроллеры BX-5x,Площадь управления:,Один цвет 1024*16 512*32; Два цвета 512*16 256*32,,,http://onbon.ru/product/controllers-bx5/bx-5alg,2026-03-28 15:52:19
КОН-BX_5ALG-920,bx-5alg,BX 5ALG,Контроллеры BX-5x,Площадь управления:,Один цвет 2048*128 1344*192 1024*256; Два цвета 2048*128 1344*192 1024*256,,,http://onbon.ru/product/controllers-bx5/bx-5alg,2026-03-28 15:52:19
КОН-BX_5ALG-558,bx-5alg,BX 5ALG,Контроллеры BX-5x,Поддержка датчиков:,"Температура, влажность, ИК",V,,http://onbon.ru/product/controllers-bx5/bx-5alg,2026-03-28 15:52:19
КОН-BX_5ALG-558,bx-5alg,BX 5ALG,Контроллеры BX-5x,Поддержка датчиков:,"Температура, Температура и влажность, ИК",,,http://onbon.ru/product/controllers-bx5/bx-5alg,2026-03-28 15:52:19
КОН-BX_5ALG-942,bx-5alg,BX 5ALG,Контроллеры BX-5x,Режим соединения:,GPRS,,,http://onbon.ru/product/controllers-bx5/bx-5alg,2026-03-28 15:52:19
КОН-BX_5ALG-942,bx-5alg,BX 5ALG,Контроллеры BX-5x,Режим соединения:,Ethernet,,,http://onbon.ru/product/controllers-bx5/bx-5alg,2026-03-28 15:52:19
КОН-BX_5ALG-942,bx-5alg,BX 5ALG,Контроллеры BX-5x,Режим соединения:,USB,,,http://onbon.ru/product/controllers-bx5/bx-5alg,2026-03-28 15:52:19
КОН-BX_5ALG-942,bx-5alg,BX 5ALG,Контроллеры BX-5x,Режим соединения:,RS232/USB ближний беспроводной,,,http://onbon.ru/product/controllers-bx5/bx-5alg,2026-03-28 15:52:19
КОН-BX_5ALG-495,bx-5alg,BX 5ALG,Контроллеры BX-5x,Тип поддерживаемых модулей:,Все монохромные и двухцветные,,,http://onbon.ru/product/controllers-bx5/bx-5alg,2026-03-28 15:52:19
