sku,slug,model,category,parameter,value,unit,notes,url,updated
КОН-BX_5E3_ESU-456,bx-5e3-esu,BX 5E3 ESU,Контроллеры BX-5x,Количество рядов и тип хаба:,4 разъема T12; 2 разъема T08,,,http://onbon.ru/product/controllers-bx5/bx-5e3-esu,2026-03-28 15:52:08
КОН-BX_5E3_ESU-433,bx-5e3-esu,BX 5E3 ESU,Контроллеры BX-5x,Максимальная мощность:,≤2.5 Вт,W,,http://onbon.ru/product/controllers-bx5/bx-5e3-esu,2026-03-28 15:52:08
КОН-BX_5E3_ESU-433,bx-5e3-esu,BX 5E3 ESU,Контроллеры BX-5x,Максимальная мощность:,≤ 1.8 Вт,W,,http://onbon.ru/product/controllers-bx5/bx-5e3-esu,2026-03-28 15:52:08
КОН-BX_5E3_ESU-433,bx-5e3-esu,BX 5E3 ESU,Контроллеры BX-5x,Максимальная мощность:,≤1.8 Вт,W,,http://onbon.ru/product/controllers-bx5/bx-5e3-esu,2026-03-28 15:52:08
КОН-BX_5E3_ESU-433,bx-5e3-esu,BX 5E3 ESU,Контроллеры BX-5x,Максимальная мощность:,"≤ 0,6 Вт",W,,http://onbon.ru/product/controllers-bx5/bx-5e3-esu,2026-03-28 15:52:08
КОН-BX_5E3_ESU-224,bx-5e3-esu,BX 5E3 ESU,Контроллеры BX-5x,Напряжение:,5V,V,4.5V~6V,http://onbon.ru/product/controllers-bx5/bx-5e3-esu,2026-03-28 15:52:08
КОН-BX_5E3_ESU-232,bx-5e3-esu,BX 5E3 ESU,Контроллеры BX-5x,Память:,4 Mb,,,http://onbon.ru/product/controllers-bx5/bx-5e3-esu,2026-03-28 15:52:08
КОН-BX_5E3_ESU-232,bx-5e3-esu,BX 5E3 ESU,Контроллеры BX-5x,Память:,2 Mb,,,http://onbon.ru/product/controllers-bx5/bx-5e3-esu,2026-03-28 15:52:08
КОН-BX_5E3_ESU-920,bx-5e3-esu,BX 5E3 ESU,Контроллеры BX-5x,Площадь управления:,Один цвет 8192*128 4096*256 2048*512; Два цвета 8192*128 4096*256 2048*512,,,http://onbon.ru/product/controllers-bx5/bx-5e3-esu,2026-03-28 15:52:08
КОН-BX_5E3_ESU-920,bx-5e3-esu,BX 5E3 ESU,Контроллеры BX-5x,Площадь управления:,Один цвет 2048*16 1024*32 672*48 512*64; Два цвета 1024*16 512*32 336*48 256*64,,,http://onbon.ru/product/controllers-bx5/bx-5e3-esu,2026-03-28 15:52:08
КОН-BX_5E3_ESU-920,bx-5e3-esu,BX 5E3 ESU,Контроллеры BX-5x,Площадь управления:,Один цвет 3200*16 3200*32 2688*48 2048*64; Два цвета 3200*16 2048*32 1344*48 1024*64,,,http://onbon.ru/product/controllers-bx5/bx-5e3-esu,2026-03-28 15:52:08
КОН-BX_5E3_ESU-920,bx-5e3-esu,BX 5E3 ESU,Контроллеры BX-5x,Площадь управления:,Один цвет 1024*16 512*32; Два цвета 512*16 256*32,,,http://onbon.ru/product/controllers-bx5/bx-5e3-esu,2026-03-28 15:52:08
КОН-BX_5E3_ESU-920,bx-5e3-esu,BX 5E3 ESU,Контроллеры BX-5x,Площадь управления:,Один цвет 2048*64 1024*128 672*192 512*256; Два цвета 1024*64 512*128 336*192 256*256,,,http://onbon.ru/product/controllers-bx5/bx-5e3-esu,2026-03-28 15:52:08
КОН-BX_5E3_ESU-558,bx-5e3-esu,BX 5E3 ESU,Контроллеры BX-5x,Поддержка датчиков:,"Температура, Температура и влажность, ИК",,,http://onbon.ru/product/controllers-bx5/bx-5e3-esu,2026-03-28 15:52:08
КОН-BX_5E3_ESU-942,bx-5e3-esu,BX 5E3 ESU,Контроллеры BX-5x,Режим соединения:,RS232/GPRS/RF/Ethernet/USB ближний беспроводной,,,http://onbon.ru/product/controllers-bx5/bx-5e3-esu,2026-03-28 15:52:08
КОН-BX_5E3_ESU-942,bx-5e3-esu,BX 5E3 ESU,Контроллеры BX-5x,Режим соединения:,Ethernet,,,http://onbon.ru/product/controllers-bx5/bx-5e3-esu,2026-03-28 15:52:08
КОН-BX_5E3_ESU-942,bx-5e3-esu,BX 5E3 ESU,Контроллеры BX-5x,Режим соединения:,"Ethernet, USB",,,http://onbon.ru/product/controllers-bx5/bx-5e3-esu,2026-03-28 15:52:08
КОН-BX_5E3_ESU-495,bx-5e3-esu,BX 5E3 ESU,Контроллеры BX-5x,Тип поддерживаемых модулей:,Все монохромные и двухцветные,,,http://onbon.ru/product/controllers-bx5/bx-5e3-esu,2026-03-28 15:52:08
