sku,slug,model,category,parameter,value,unit,notes,url,updated
КОН-BX_5K2_SER-456,bx-5k2-serial,BX 5K2 SERIAL,Контроллеры BX-5x,Количество рядов и тип хаба:,4 разъема T12; 2 разъема T08,,,http://onbon.ru/product/controllers-bx5/bx-5k2-serial,2026-03-28 15:52:12
КОН-BX_5K2_SER-433,bx-5k2-serial,BX 5K2 SERIAL,Контроллеры BX-5x,Максимальная мощность:,"≤ 1,8 ВТ",W,,http://onbon.ru/product/controllers-bx5/bx-5k2-serial,2026-03-28 15:52:12
КОН-BX_5K2_SER-433,bx-5k2-serial,BX 5K2 SERIAL,Контроллеры BX-5x,Максимальная мощность:,≤2 Вт,W,,http://onbon.ru/product/controllers-bx5/bx-5k2-serial,2026-03-28 15:52:12
КОН-BX_5K2_SER-433,bx-5k2-serial,BX 5K2 SERIAL,Контроллеры BX-5x,Максимальная мощность:,≤ 1.8 Вт,W,,http://onbon.ru/product/controllers-bx5/bx-5k2-serial,2026-03-28 15:52:12
КОН-BX_5K2_SER-224,bx-5k2-serial,BX 5K2 SERIAL,Контроллеры BX-5x,Напряжение:,5V,V,3.5V~6V,http://onbon.ru/product/controllers-bx5/bx-5k2-serial,2026-03-28 15:52:12
КОН-BX_5K2_SER-224,bx-5k2-serial,BX 5K2 SERIAL,Контроллеры BX-5x,Напряжение:,5V,V,4.5V~6V,http://onbon.ru/product/controllers-bx5/bx-5k2-serial,2026-03-28 15:52:12
КОН-BX_5K2_SER-232,bx-5k2-serial,BX 5K2 SERIAL,Контроллеры BX-5x,Память:,2 Mb,,,http://onbon.ru/product/controllers-bx5/bx-5k2-serial,2026-03-28 15:52:12
КОН-BX_5K2_SER-920,bx-5k2-serial,BX 5K2 SERIAL,Контроллеры BX-5x,Площадь управления:,Один цвет 2048*16 1536*32 1024*48 768*64 512*96 384*128 256*192 192*256; Два цвета 1536*16 768*32 512*48 384*64 256*96 192*128 128*192 96*256,,,http://onbon.ru/product/controllers-bx5/bx-5k2-serial,2026-03-28 15:52:12
КОН-BX_5K2_SER-920,bx-5k2-serial,BX 5K2 SERIAL,Контроллеры BX-5x,Площадь управления:,Один цвет 3200*32 2112*48 1600*64; Два цвета 1600*32 1056*48 800*64,,,http://onbon.ru/product/controllers-bx5/bx-5k2-serial,2026-03-28 15:52:12
КОН-BX_5K2_SER-920,bx-5k2-serial,BX 5K2 SERIAL,Контроллеры BX-5x,Площадь управления:,Один цвет 2048*16 1024*32 672*48 512*64; Два цвета 1024*16 512*32 336*48 256*64,,,http://onbon.ru/product/controllers-bx5/bx-5k2-serial,2026-03-28 15:52:12
КОН-BX_5K2_SER-920,bx-5k2-serial,BX 5K2 SERIAL,Контроллеры BX-5x,Площадь управления:,Один цвет 512*256,,,http://onbon.ru/product/controllers-bx5/bx-5k2-serial,2026-03-28 15:52:12
КОН-BX_5K2_SER-920,bx-5k2-serial,BX 5K2 SERIAL,Контроллеры BX-5x,Площадь управления:,Один цвет 640*16 320*32; Два цвета 320*16 160*32,,,http://onbon.ru/product/controllers-bx5/bx-5k2-serial,2026-03-28 15:52:12
КОН-BX_5K2_SER-558,bx-5k2-serial,BX 5K2 SERIAL,Контроллеры BX-5x,Поддержка датчиков:,"Температура, Температура и влажность, ИК",,,http://onbon.ru/product/controllers-bx5/bx-5k2-serial,2026-03-28 15:52:12
КОН-BX_5K2_SER-942,bx-5k2-serial,BX 5K2 SERIAL,Контроллеры BX-5x,Режим соединения:,RS232/RS485/GPRS/RF,,,http://onbon.ru/product/controllers-bx5/bx-5k2-serial,2026-03-28 15:52:12
КОН-BX_5K2_SER-942,bx-5k2-serial,BX 5K2 SERIAL,Контроллеры BX-5x,Режим соединения:,USB,,,http://onbon.ru/product/controllers-bx5/bx-5k2-serial,2026-03-28 15:52:12
КОН-BX_5K2_SER-942,bx-5k2-serial,BX 5K2 SERIAL,Контроллеры BX-5x,Режим соединения:,Ethernet,,,http://onbon.ru/product/controllers-bx5/bx-5k2-serial,2026-03-28 15:52:12
КОН-BX_5K2_SER-495,bx-5k2-serial,BX 5K2 SERIAL,Контроллеры BX-5x,Тип поддерживаемых модулей:,Все монохромные и двухцветные,,,http://onbon.ru/product/controllers-bx5/bx-5k2-serial,2026-03-28 15:52:12
