sku,slug,model,category,parameter,value,unit,notes,url,updated
КОН-BX_5M2_EU-456,bx-5m2-eu,BX 5M2 EU,Контроллеры BX-5x,Количество рядов и тип хаба:,4 разъема T12; 2 разъема T08,,,http://onbon.ru/product/controllers-bx5/bx-5m2-eu,2026-03-28 15:51:35
КОН-BX_5M2_EU-433,bx-5m2-eu,BX 5M2 EU,Контроллеры BX-5x,Максимальная мощность:,≤1.8 Вт,W,,http://onbon.ru/product/controllers-bx5/bx-5m2-eu,2026-03-28 15:51:35
КОН-BX_5M2_EU-433,bx-5m2-eu,BX 5M2 EU,Контроллеры BX-5x,Максимальная мощность:,≤2.5 Вт,W,,http://onbon.ru/product/controllers-bx5/bx-5m2-eu,2026-03-28 15:51:35
КОН-BX_5M2_EU-433,bx-5m2-eu,BX 5M2 EU,Контроллеры BX-5x,Максимальная мощность:,≤2 Вт,W,,http://onbon.ru/product/controllers-bx5/bx-5m2-eu,2026-03-28 15:51:35
КОН-BX_5M2_EU-224,bx-5m2-eu,BX 5M2 EU,Контроллеры BX-5x,Напряжение:,5V,V,4.5V~6V,http://onbon.ru/product/controllers-bx5/bx-5m2-eu,2026-03-28 15:51:35
КОН-BX_5M2_EU-232,bx-5m2-eu,BX 5M2 EU,Контроллеры BX-5x,Память:,4 Mb,,,http://onbon.ru/product/controllers-bx5/bx-5m2-eu,2026-03-28 15:51:35
КОН-BX_5M2_EU-232,bx-5m2-eu,BX 5M2 EU,Контроллеры BX-5x,Память:,2 Mb,,,http://onbon.ru/product/controllers-bx5/bx-5m2-eu,2026-03-28 15:51:35
КОН-BX_5M2_EU-920,bx-5m2-eu,BX 5M2 EU,Контроллеры BX-5x,Площадь управления:,Один цвет 3200*16 3200*32 2688*48 2048*64; Два цвета 3200*16 2048*32 1344*48 1024*64,,,http://onbon.ru/product/controllers-bx5/bx-5m2-eu,2026-03-28 15:51:35
КОН-BX_5M2_EU-920,bx-5m2-eu,BX 5M2 EU,Контроллеры BX-5x,Площадь управления:,Один цвет 4096*128 2048*256; Два цвета 4096*128 2048*256,,,http://onbon.ru/product/controllers-bx5/bx-5m2-eu,2026-03-28 15:51:35
КОН-BX_5M2_EU-920,bx-5m2-eu,BX 5M2 EU,Контроллеры BX-5x,Площадь управления:,Один цвет 2048*16 1024*32 672*48 512*64; Два цвета 1024*16 512*32 336*48 256*64,,,http://onbon.ru/product/controllers-bx5/bx-5m2-eu,2026-03-28 15:51:35
КОН-BX_5M2_EU-920,bx-5m2-eu,BX 5M2 EU,Контроллеры BX-5x,Площадь управления:,Один цвет 2048*64 1024*128 672*192 512*256; Два цвета 1024*64 512*128 336*192 256*256,,,http://onbon.ru/product/controllers-bx5/bx-5m2-eu,2026-03-28 15:51:35
КОН-BX_5M2_EU-920,bx-5m2-eu,BX 5M2 EU,Контроллеры BX-5x,Площадь управления:,Один цвет 640*16 320*32; Два цвета 320*16 160*32,,,http://onbon.ru/product/controllers-bx5/bx-5m2-eu,2026-03-28 15:51:35
КОН-BX_5M2_EU-558,bx-5m2-eu,BX 5M2 EU,Контроллеры BX-5x,Поддержка датчиков:,"Температура, Температура и влажность, ИК",,,http://onbon.ru/product/controllers-bx5/bx-5m2-eu,2026-03-28 15:51:35
КОН-BX_5M2_EU-942,bx-5m2-eu,BX 5M2 EU,Контроллеры BX-5x,Режим соединения:,Ethernet,,,http://onbon.ru/product/controllers-bx5/bx-5m2-eu,2026-03-28 15:51:35
КОН-BX_5M2_EU-942,bx-5m2-eu,BX 5M2 EU,Контроллеры BX-5x,Режим соединения:,"Ethernet, RS232/USB ближний",,,http://onbon.ru/product/controllers-bx5/bx-5m2-eu,2026-03-28 15:51:35
КОН-BX_5M2_EU-942,bx-5m2-eu,BX 5M2 EU,Контроллеры BX-5x,Режим соединения:,USB,,,http://onbon.ru/product/controllers-bx5/bx-5m2-eu,2026-03-28 15:51:35
КОН-BX_5M2_EU-495,bx-5m2-eu,BX 5M2 EU,Контроллеры BX-5x,Тип поддерживаемых модулей:,Все монохромные и двухцветные,,,http://onbon.ru/product/controllers-bx5/bx-5m2-eu,2026-03-28 15:51:35
