sku,slug,model,category,parameter,value,unit,notes,url,updated
ПРИ-BX_5Q1UE_7-456,bx-5q1ue-75a-2,BX 5Q1UE 75A 2,Приёмные карты,Количество рядов и тип хаба:,5 разъемов T75,,,http://onbon.ru/product/receiving-cards/bx-5q1ue-75a-2,2026-03-28 15:53:58
ПРИ-BX_5Q1UE_7-456,bx-5q1ue-75a-2,BX 5Q1UE 75A 2,Приёмные карты,Количество рядов и тип хаба:,2 разъема T75; 4 разъема T08,,,http://onbon.ru/product/receiving-cards/bx-5q1ue-75a-2,2026-03-28 15:53:58
ПРИ-BX_5Q1UE_7-456,bx-5q1ue-75a-2,BX 5Q1UE 75A 2,Приёмные карты,Количество рядов и тип хаба:,12 разъемов T75,,,http://onbon.ru/product/receiving-cards/bx-5q1ue-75a-2,2026-03-28 15:53:58
ПРИ-BX_5Q1UE_7-433,bx-5q1ue-75a-2,BX 5Q1UE 75A 2,Приёмные карты,Максимальная мощность:,"≤ 2,5 Вт",W,,http://onbon.ru/product/receiving-cards/bx-5q1ue-75a-2,2026-03-28 15:53:58
ПРИ-BX_5Q1UE_7-433,bx-5q1ue-75a-2,BX 5Q1UE 75A 2,Приёмные карты,Максимальная мощность:,≤ 4 Вт,W,,http://onbon.ru/product/receiving-cards/bx-5q1ue-75a-2,2026-03-28 15:53:58
ПРИ-BX_5Q1UE_7-433,bx-5q1ue-75a-2,BX 5Q1UE 75A 2,Приёмные карты,Максимальная мощность:,≤ 2 Вт,W,,http://onbon.ru/product/receiving-cards/bx-5q1ue-75a-2,2026-03-28 15:53:58
ПРИ-BX_5Q1UE_7-224,bx-5q1ue-75a-2,BX 5Q1UE 75A 2,Приёмные карты,Напряжение:,5V,V,3.5V~6V,http://onbon.ru/product/receiving-cards/bx-5q1ue-75a-2,2026-03-28 15:53:58
ПРИ-BX_5Q1UE_7-224,bx-5q1ue-75a-2,BX 5Q1UE 75A 2,Приёмные карты,Напряжение:,5V,V,"4~6,5V",http://onbon.ru/product/receiving-cards/bx-5q1ue-75a-2,2026-03-28 15:53:58
ПРИ-BX_5Q1UE_7-224,bx-5q1ue-75a-2,BX 5Q1UE 75A 2,Приёмные карты,Напряжение:,5V,V,4.5V~6V,http://onbon.ru/product/receiving-cards/bx-5q1ue-75a-2,2026-03-28 15:53:58
ПРИ-BX_5Q1UE_7-224,bx-5q1ue-75a-2,BX 5Q1UE 75A 2,Приёмные карты,Напряжение:,5V,V,4~6V,http://onbon.ru/product/receiving-cards/bx-5q1ue-75a-2,2026-03-28 15:53:58
ПРИ-BX_5Q1UE_7-232,bx-5q1ue-75a-2,BX 5Q1UE 75A 2,Приёмные карты,Память:,128 Mb,,,http://onbon.ru/product/receiving-cards/bx-5q1ue-75a-2,2026-03-28 15:53:58
ПРИ-BX_5Q1UE_7-920,bx-5q1ue-75a-2,BX 5Q1UE 75A 2,Приёмные карты,Площадь управления:,1024*40 848*48 640*64 512*80 416*96 352*112 320*128 272*144 256*160,,,http://onbon.ru/product/receiving-cards/bx-5q1ue-75a-2,2026-03-28 15:53:58
ПРИ-BX_5Q1UE_7-920,bx-5q1ue-75a-2,BX 5Q1UE 75A 2,Приёмные карты,Площадь управления:,1280*1024,,,http://onbon.ru/product/receiving-cards/bx-5q1ue-75a-2,2026-03-28 15:53:58
ПРИ-BX_5Q1UE_7-920,bx-5q1ue-75a-2,BX 5Q1UE 75A 2,Приёмные карты,Площадь управления:,512*32 400*40 336*48 256*64 200*80,,,http://onbon.ru/product/receiving-cards/bx-5q1ue-75a-2,2026-03-28 15:53:58
ПРИ-BX_5Q1UE_7-920,bx-5q1ue-75a-2,BX 5Q1UE 75A 2,Приёмные карты,Площадь управления:,384*384,,,http://onbon.ru/product/receiving-cards/bx-5q1ue-75a-2,2026-03-28 15:53:58
ПРИ-BX_5Q1UE_7-920,bx-5q1ue-75a-2,BX 5Q1UE 75A 2,Приёмные карты,Площадь управления:,1280*1024 Максимальная,,,http://onbon.ru/product/receiving-cards/bx-5q1ue-75a-2,2026-03-28 15:53:58
ПРИ-BX_5Q1UE_7-558,bx-5q1ue-75a-2,BX 5Q1UE 75A 2,Приёмные карты,Поддержка датчиков:,"Температура, Температура и влажность, ИК",,,http://onbon.ru/product/receiving-cards/bx-5q1ue-75a-2,2026-03-28 15:53:58
ПРИ-BX_5Q1UE_7-778,bx-5q1ue-75a-2,BX 5Q1UE 75A 2,Приёмные карты,Принимающие карты:,BX-V (2 шт. 50 PIN) / BX-V75 (12 шт. 15 T75) / BX-V75L,,8 шт. 15 T75,http://onbon.ru/product/receiving-cards/bx-5q1ue-75a-2,2026-03-28 15:53:58
ПРИ-BX_5Q1UE_7-942,bx-5q1ue-75a-2,BX 5Q1UE 75A 2,Приёмные карты,Режим соединения:,100M Еthernet/RS232/RS485/USB,,,http://onbon.ru/product/receiving-cards/bx-5q1ue-75a-2,2026-03-28 15:53:58
ПРИ-BX_5Q1UE_7-495,bx-5q1ue-75a-2,BX 5Q1UE 75A 2,Приёмные карты,Тип поддерживаемых модулей:,Полноцветные,,,http://onbon.ru/product/receiving-cards/bx-5q1ue-75a-2,2026-03-28 15:53:58
