sku,slug,model,category,parameter,value,unit,notes,url,updated
ПРИ-BX_5QSUE-456,bx-5qsue,BX 5QSUE,Приёмные карты,Количество рядов и тип хаба:,1 разъем 50PIN,,,http://onbon.ru/product/receiving-cards/bx-5qsue,2026-03-28 15:53:20
ПРИ-BX_5QSUE-456,bx-5qsue,BX 5QSUE,Приёмные карты,Количество рядов и тип хаба:,4 разъема T12; 2 разъема T08,,,http://onbon.ru/product/receiving-cards/bx-5qsue,2026-03-28 15:53:20
ПРИ-BX_5QSUE-433,bx-5qsue,BX 5QSUE,Приёмные карты,Максимальная мощность:,≤2 Вт,W,,http://onbon.ru/product/receiving-cards/bx-5qsue,2026-03-28 15:53:20
ПРИ-BX_5QSUE-433,bx-5qsue,BX 5QSUE,Приёмные карты,Максимальная мощность:,≤1.8 Вт,W,,http://onbon.ru/product/receiving-cards/bx-5qsue,2026-03-28 15:53:20
ПРИ-BX_5QSUE-224,bx-5qsue,BX 5QSUE,Приёмные карты,Напряжение:,5V,V,4.5V~6V,http://onbon.ru/product/receiving-cards/bx-5qsue,2026-03-28 15:53:20
ПРИ-BX_5QSUE-232,bx-5qsue,BX 5QSUE,Приёмные карты,Память:,128 Mb,,,http://onbon.ru/product/receiving-cards/bx-5qsue,2026-03-28 15:53:20
ПРИ-BX_5QSUE-232,bx-5qsue,BX 5QSUE,Приёмные карты,Память:,2 Mb,,,http://onbon.ru/product/receiving-cards/bx-5qsue,2026-03-28 15:53:20
ПРИ-BX_5QSUE-920,bx-5qsue,BX 5QSUE,Приёмные карты,Площадь управления:,один/два цвета 1024*256,,,http://onbon.ru/product/receiving-cards/bx-5qsue,2026-03-28 15:53:20
ПРИ-BX_5QSUE-920,bx-5qsue,BX 5QSUE,Приёмные карты,Площадь управления:,Один цвет 3200*32 2112*48 1600*64; Два цвета 1600*32 1056*48 800*64,,,http://onbon.ru/product/receiving-cards/bx-5qsue,2026-03-28 15:53:20
ПРИ-BX_5QSUE-920,bx-5qsue,BX 5QSUE,Приёмные карты,Площадь управления:,Один цвет 2048*64 1024*128 672*192 512*256; Два цвета 1024*64 512*128 336*192 256*256,,,http://onbon.ru/product/receiving-cards/bx-5qsue,2026-03-28 15:53:20
ПРИ-BX_5QSUE-920,bx-5qsue,BX 5QSUE,Приёмные карты,Площадь управления:,Один цвет 2048*16 1024*32 672*48 512*64; Два цвета 1024*16 512*32 336*48 256*64,,,http://onbon.ru/product/receiving-cards/bx-5qsue,2026-03-28 15:53:20
ПРИ-BX_5QSUE-558,bx-5qsue,BX 5QSUE,Приёмные карты,Поддержка датчиков:,"Температура, Температура и влажность, ИК",,,http://onbon.ru/product/receiving-cards/bx-5qsue,2026-03-28 15:53:20
ПРИ-BX_5QSUE-942,bx-5qsue,BX 5QSUE,Приёмные карты,Режим соединения:,"Ethernet, USB, 3GW",,CDMA,http://onbon.ru/product/receiving-cards/bx-5qsue,2026-03-28 15:53:20
ПРИ-BX_5QSUE-942,bx-5qsue,BX 5QSUE,Приёмные карты,Режим соединения:,USB,,,http://onbon.ru/product/receiving-cards/bx-5qsue,2026-03-28 15:53:20
ПРИ-BX_5QSUE-942,bx-5qsue,BX 5QSUE,Приёмные карты,Режим соединения:,Ethernet,,,http://onbon.ru/product/receiving-cards/bx-5qsue,2026-03-28 15:53:20
ПРИ-BX_5QSUE-495,bx-5qsue,BX 5QSUE,Приёмные карты,Тип поддерживаемых модулей:,Все монохромные и двухцветные,,,http://onbon.ru/product/receiving-cards/bx-5qsue,2026-03-28 15:53:20
