sku,slug,model,category,parameter,value,unit,notes,url,updated
КОН-BX_6M-456,bx-6m,BX 6M,Контроллеры BX-6x,Количество рядов и тип хаба:,8 разъемов T12; 4 разъема T08,,,http://onbon.ru/product/controllers-bx6/bx-6m,2026-03-28 15:55:55
КОН-BX_6M-433,bx-6m,BX 6M,Контроллеры BX-6x,Максимальная мощность:,≤2 Вт,W,,http://onbon.ru/product/controllers-bx6/bx-6m,2026-03-28 15:55:55
КОН-BX_6M-433,bx-6m,BX 6M,Контроллеры BX-6x,Максимальная мощность:,"≤ 0,6 Вт",W,,http://onbon.ru/product/controllers-bx6/bx-6m,2026-03-28 15:55:55
КОН-BX_6M-433,bx-6m,BX 6M,Контроллеры BX-6x,Максимальная мощность:,≤1.8 Вт,W,,http://onbon.ru/product/controllers-bx6/bx-6m,2026-03-28 15:55:55
КОН-BX_6M-224,bx-6m,BX 6M,Контроллеры BX-6x,Напряжение:,5V,V,3.5V~6V,http://onbon.ru/product/controllers-bx6/bx-6m,2026-03-28 15:55:55
КОН-BX_6M-224,bx-6m,BX 6M,Контроллеры BX-6x,Напряжение:,5V,V,4.5V~6V,http://onbon.ru/product/controllers-bx6/bx-6m,2026-03-28 15:55:55
КОН-BX_6M-232,bx-6m,BX 6M,Контроллеры BX-6x,Память:,2 Mb,,,http://onbon.ru/product/controllers-bx6/bx-6m,2026-03-28 15:55:55
КОН-BX_6M-920,bx-6m,BX 6M,Контроллеры BX-6x,Площадь управления:,Один цвет 64K: 512*128 (W≤512); Два цвета 64K: 512*128,,W≤512,http://onbon.ru/product/controllers-bx6/bx-6m,2026-03-28 15:55:55
КОН-BX_6M-920,bx-6m,BX 6M,Контроллеры BX-6x,Площадь управления:,Один цвет 1024*16 512*32; Два цвета 512*16 256*32,,,http://onbon.ru/product/controllers-bx6/bx-6m,2026-03-28 15:55:55
КОН-BX_6M-920,bx-6m,BX 6M,Контроллеры BX-6x,Площадь управления:,Один цвет 3200*16 3200*32 2688*48 2048*64; Два цвета 3200*16 2048*32 1344*48 1024*64,,,http://onbon.ru/product/controllers-bx6/bx-6m,2026-03-28 15:55:55
КОН-BX_6M-920,bx-6m,BX 6M,Контроллеры BX-6x,Площадь управления:,Один цвет 2048*64 1024*128 672*192 512*256; Два цвета 1024*64 512*128 336*192 256*256,,,http://onbon.ru/product/controllers-bx6/bx-6m,2026-03-28 15:55:55
КОН-BX_6M-920,bx-6m,BX 6M,Контроллеры BX-6x,Площадь управления:,Один цвет 3200*32 2048*64 1344*96 1024*128; Два цвета 2048*32 1024*64 672*96 512*128,,,http://onbon.ru/product/controllers-bx6/bx-6m,2026-03-28 15:55:55
КОН-BX_6M-558,bx-6m,BX 6M,Контроллеры BX-6x,Поддержка датчиков:,"Температура, Температура и влажность, ИК, Яркость",,,http://onbon.ru/product/controllers-bx6/bx-6m,2026-03-28 15:55:55
КОН-BX_6M-558,bx-6m,BX 6M,Контроллеры BX-6x,Поддержка датчиков:,"Температура, Температура и влажность, ИК",,,http://onbon.ru/product/controllers-bx6/bx-6m,2026-03-28 15:55:55
КОН-BX_6M-942,bx-6m,BX 6M,Контроллеры BX-6x,Режим соединения:,"Ethernet, USB, iLedCloud",,,http://onbon.ru/product/controllers-bx6/bx-6m,2026-03-28 15:55:55
КОН-BX_6M-942,bx-6m,BX 6M,Контроллеры BX-6x,Режим соединения:,"Ethernet, USB",,,http://onbon.ru/product/controllers-bx6/bx-6m,2026-03-28 15:55:55
КОН-BX_6M-942,bx-6m,BX 6M,Контроллеры BX-6x,Режим соединения:,Ethernet,,,http://onbon.ru/product/controllers-bx6/bx-6m,2026-03-28 15:55:55
КОН-BX_6M-942,bx-6m,BX 6M,Контроллеры BX-6x,Режим соединения:,USB,,,http://onbon.ru/product/controllers-bx6/bx-6m,2026-03-28 15:55:55
КОН-BX_6M-495,bx-6m,BX 6M,Контроллеры BX-6x,Тип поддерживаемых модулей:,"Все монохромные, двухцветные",,,http://onbon.ru/product/controllers-bx6/bx-6m,2026-03-28 15:55:55
КОН-BX_6M-495,bx-6m,BX 6M,Контроллеры BX-6x,Тип поддерживаемых модулей:,Все монохромные и двухцветные,,,http://onbon.ru/product/controllers-bx6/bx-6m,2026-03-28 15:55:55
