sku,slug,model,category,parameter,value,unit,notes,url,updated
КОН-BX_6M3-456,bx-6m3,BX 6M3,Контроллеры BX-6x,Количество рядов и тип хаба:,8 разъемов T12; 4 разъема T08,,,http://onbon.ru/product/controllers-bx6/bx-6m3,2026-03-28 15:55:53
КОН-BX_6M3-433,bx-6m3,BX 6M3,Контроллеры BX-6x,Максимальная мощность:,≤2 Вт,W,,http://onbon.ru/product/controllers-bx6/bx-6m3,2026-03-28 15:55:53
КОН-BX_6M3-433,bx-6m3,BX 6M3,Контроллеры BX-6x,Максимальная мощность:,≤1.8 Вт,W,,http://onbon.ru/product/controllers-bx6/bx-6m3,2026-03-28 15:55:53
КОН-BX_6M3-224,bx-6m3,BX 6M3,Контроллеры BX-6x,Напряжение:,5V,V,3.5V~6V,http://onbon.ru/product/controllers-bx6/bx-6m3,2026-03-28 15:55:53
КОН-BX_6M3-224,bx-6m3,BX 6M3,Контроллеры BX-6x,Напряжение:,5V,V,4.5V~6V,http://onbon.ru/product/controllers-bx6/bx-6m3,2026-03-28 15:55:53
КОН-BX_6M3-232,bx-6m3,BX 6M3,Контроллеры BX-6x,Память:,2 Mb,,,http://onbon.ru/product/controllers-bx6/bx-6m3,2026-03-28 15:55:53
КОН-BX_6M3-920,bx-6m3,BX 6M3,Контроллеры BX-6x,Площадь управления:,Один цвет 128K: 3200*32 2048*64 1024*128; Два цвета 96K: 3072*32 1536*64 768*128,,,http://onbon.ru/product/controllers-bx6/bx-6m3,2026-03-28 15:55:53
КОН-BX_6M3-920,bx-6m3,BX 6M3,Контроллеры BX-6x,Площадь управления:,Один цвет 2048*64 1024*128 672*192 512*256; Два цвета 1024*64 512*128 336*192 256*256,,,http://onbon.ru/product/controllers-bx6/bx-6m3,2026-03-28 15:55:53
КОН-BX_6M3-920,bx-6m3,BX 6M3,Контроллеры BX-6x,Площадь управления:,Один цвет 3200*16 2048*32 1344*48 1024*64; Два цвета 1600*16 1024*32 672*48 512*64,,,http://onbon.ru/product/controllers-bx6/bx-6m3,2026-03-28 15:55:53
КОН-BX_6M3-920,bx-6m3,BX 6M3,Контроллеры BX-6x,Площадь управления:,Один цвет 640*16 320*32; Два цвета 320*16 160*32,,,http://onbon.ru/product/controllers-bx6/bx-6m3,2026-03-28 15:55:53
КОН-BX_6M3-558,bx-6m3,BX 6M3,Контроллеры BX-6x,Поддержка датчиков:,"Температура, Температура и влажность, ИК, Яркость",,,http://onbon.ru/product/controllers-bx6/bx-6m3,2026-03-28 15:55:53
КОН-BX_6M3-558,bx-6m3,BX 6M3,Контроллеры BX-6x,Поддержка датчиков:,"Температура, Температура и влажность, ИК",,,http://onbon.ru/product/controllers-bx6/bx-6m3,2026-03-28 15:55:53
КОН-BX_6M3-942,bx-6m3,BX 6M3,Контроллеры BX-6x,Режим соединения:,"Ethernet, USB, iLedCloud",,,http://onbon.ru/product/controllers-bx6/bx-6m3,2026-03-28 15:55:53
КОН-BX_6M3-942,bx-6m3,BX 6M3,Контроллеры BX-6x,Режим соединения:,Ethernet,,,http://onbon.ru/product/controllers-bx6/bx-6m3,2026-03-28 15:55:53
КОН-BX_6M3-942,bx-6m3,BX 6M3,Контроллеры BX-6x,Режим соединения:,USB,,,http://onbon.ru/product/controllers-bx6/bx-6m3,2026-03-28 15:55:53
КОН-BX_6M3-495,bx-6m3,BX 6M3,Контроллеры BX-6x,Тип поддерживаемых модулей:,"Все монохромные, двухцветные",,,http://onbon.ru/product/controllers-bx6/bx-6m3,2026-03-28 15:55:53
КОН-BX_6M3-495,bx-6m3,BX 6M3,Контроллеры BX-6x,Тип поддерживаемых модулей:,Все монохромные и двухцветные,,,http://onbon.ru/product/controllers-bx6/bx-6m3,2026-03-28 15:55:53
