sku,slug,model,category,parameter,value,unit,notes,url,updated
ПРИ-BX_6Q0_75-499,bx-6q0-75,BX 6Q0 75,Приёмные карты,Внешняя память:,Max 4Gb,,,http://onbon.ru/product/receiving-cards/bx-6q0-75,2026-03-28 15:54:35
ПРИ-BX_6Q0_75-499,bx-6q0-75,BX 6Q0 75,Приёмные карты,Внешняя память:,Max 4 Gb,,,http://onbon.ru/product/receiving-cards/bx-6q0-75,2026-03-28 15:54:35
ПРИ-BX_6Q0_75-420,bx-6q0-75,BX 6Q0 75,Приёмные карты,Вывод звука:,"Есть, Jack 3.5 мм",mm,,http://onbon.ru/product/receiving-cards/bx-6q0-75,2026-03-28 15:54:35
ПРИ-BX_6Q0_75-456,bx-6q0-75,BX 6Q0 75,Приёмные карты,Количество рядов и тип хаба:,4 разъема T75,,,http://onbon.ru/product/receiving-cards/bx-6q0-75,2026-03-28 15:54:35
ПРИ-BX_6Q0_75-456,bx-6q0-75,BX 6Q0 75,Приёмные карты,Количество рядов и тип хаба:,12 разъемов T75,,,http://onbon.ru/product/receiving-cards/bx-6q0-75,2026-03-28 15:54:35
ПРИ-BX_6Q0_75-456,bx-6q0-75,BX 6Q0 75,Приёмные карты,Количество рядов и тип хаба:,2 разъема 50PIN,,,http://onbon.ru/product/receiving-cards/bx-6q0-75,2026-03-28 15:54:35
ПРИ-BX_6Q0_75-559,bx-6q0-75,BX 6Q0 75,Приёмные карты,Конфигурация оборудования:,"Программное декодирование, Процессор 1GHz, 512MB DRAM",,,http://onbon.ru/product/receiving-cards/bx-6q0-75,2026-03-28 15:54:35
ПРИ-BX_6Q0_75-433,bx-6q0-75,BX 6Q0 75,Приёмные карты,Максимальная мощность:,≤ 4 Вт,W,,http://onbon.ru/product/receiving-cards/bx-6q0-75,2026-03-28 15:54:35
ПРИ-BX_6Q0_75-224,bx-6q0-75,BX 6Q0 75,Приёмные карты,Напряжение:,5V,V,3.5V-6V,http://onbon.ru/product/receiving-cards/bx-6q0-75,2026-03-28 15:54:35
ПРИ-BX_6Q0_75-224,bx-6q0-75,BX 6Q0 75,Приёмные карты,Напряжение:,5V,V,3.5V~6V,http://onbon.ru/product/receiving-cards/bx-6q0-75,2026-03-28 15:54:35
ПРИ-BX_6Q0_75-224,bx-6q0-75,BX 6Q0 75,Приёмные карты,Напряжение:,5V,V,4~6V,http://onbon.ru/product/receiving-cards/bx-6q0-75,2026-03-28 15:54:35
ПРИ-BX_6Q0_75-232,bx-6q0-75,BX 6Q0 75,Приёмные карты,Память:,512 Mb,,,http://onbon.ru/product/receiving-cards/bx-6q0-75,2026-03-28 15:54:35
ПРИ-BX_6Q0_75-232,bx-6q0-75,BX 6Q0 75,Приёмные карты,Память:,1 Gb,,,http://onbon.ru/product/receiving-cards/bx-6q0-75,2026-03-28 15:54:35
ПРИ-BX_6Q0_75-920,bx-6q0-75,BX 6Q0 75,Приёмные карты,Площадь управления:,512*64 256*128 128*256,,,http://onbon.ru/product/receiving-cards/bx-6q0-75,2026-03-28 15:54:35
ПРИ-BX_6Q0_75-920,bx-6q0-75,BX 6Q0 75,Приёмные карты,Площадь управления:,384*384,,,http://onbon.ru/product/receiving-cards/bx-6q0-75,2026-03-28 15:54:35
ПРИ-BX_6Q0_75-920,bx-6q0-75,BX 6Q0 75,Приёмные карты,Площадь управления:,384*256,,,http://onbon.ru/product/receiving-cards/bx-6q0-75,2026-03-28 15:54:35
ПРИ-BX_6Q0_75-920,bx-6q0-75,BX 6Q0 75,Приёмные карты,Площадь управления:,"1024*64, 512*128, 336*192, 256*256",,,http://onbon.ru/product/receiving-cards/bx-6q0-75,2026-03-28 15:54:35
ПРИ-BX_6Q0_75-558,bx-6q0-75,BX 6Q0 75,Приёмные карты,Поддержка датчиков:,"Температура, Температура и влажность, ИК, Датчик яркости",,,http://onbon.ru/product/receiving-cards/bx-6q0-75,2026-03-28 15:54:35
ПРИ-BX_6Q0_75-558,bx-6q0-75,BX 6Q0 75,Приёмные карты,Поддержка датчиков:,"Температура, Температура и влажность, ИК пульт, Датчик яркости",,,http://onbon.ru/product/receiving-cards/bx-6q0-75,2026-03-28 15:54:35
ПРИ-BX_6Q0_75-942,bx-6q0-75,BX 6Q0 75,Приёмные карты,Режим соединения:,"Ethernet, USB, 3GW",,CDMA,http://onbon.ru/product/receiving-cards/bx-6q0-75,2026-03-28 15:54:35
ПРИ-BX_6Q0_75-942,bx-6q0-75,BX 6Q0 75,Приёмные карты,Режим соединения:,"Ethernet, USB-port, SD",,,http://onbon.ru/product/receiving-cards/bx-6q0-75,2026-03-28 15:54:35
ПРИ-BX_6Q0_75-495,bx-6q0-75,BX 6Q0 75,Приёмные карты,Тип поддерживаемых модулей:,Полноцветные,,,http://onbon.ru/product/receiving-cards/bx-6q0-75,2026-03-28 15:54:35
