sku,slug,model,category,parameter,value,unit,notes,url,updated
ПРИ-BX_6Q3L-456,bx-6q3l,BX 6Q3L,Приёмные карты,Количество рядов и тип хаба:,2 разъема T75; 4 разъема T08,,,http://onbon.ru/product/receiving-cards/bx-6q3l,2026-03-28 15:53:51
ПРИ-BX_6Q3L-456,bx-6q3l,BX 6Q3L,Приёмные карты,Количество рядов и тип хаба:,8 разъемов T75,,,http://onbon.ru/product/receiving-cards/bx-6q3l,2026-03-28 15:53:51
ПРИ-BX_6Q3L-456,bx-6q3l,BX 6Q3L,Приёмные карты,Количество рядов и тип хаба:,2 разъема 50PIN,,,http://onbon.ru/product/receiving-cards/bx-6q3l,2026-03-28 15:53:51
ПРИ-BX_6Q3L-456,bx-6q3l,BX 6Q3L,Приёмные карты,Количество рядов и тип хаба:,12 разъемов T75,,,http://onbon.ru/product/receiving-cards/bx-6q3l,2026-03-28 15:53:51
ПРИ-BX_6Q3L-433,bx-6q3l,BX 6Q3L,Приёмные карты,Максимальная мощность:,≤ 2 Вт,W,,http://onbon.ru/product/receiving-cards/bx-6q3l,2026-03-28 15:53:51
ПРИ-BX_6Q3L-433,bx-6q3l,BX 6Q3L,Приёмные карты,Максимальная мощность:,≤ 4 Вт,W,,http://onbon.ru/product/receiving-cards/bx-6q3l,2026-03-28 15:53:51
ПРИ-BX_6Q3L-224,bx-6q3l,BX 6Q3L,Приёмные карты,Напряжение:,5V,V,3.5V-6V,http://onbon.ru/product/receiving-cards/bx-6q3l,2026-03-28 15:53:51
ПРИ-BX_6Q3L-224,bx-6q3l,BX 6Q3L,Приёмные карты,Напряжение:,5V,V,4.5V~6V,http://onbon.ru/product/receiving-cards/bx-6q3l,2026-03-28 15:53:51
ПРИ-BX_6Q3L-224,bx-6q3l,BX 6Q3L,Приёмные карты,Напряжение:,5V,V,4~6V,http://onbon.ru/product/receiving-cards/bx-6q3l,2026-03-28 15:53:51
ПРИ-BX_6Q3L-232,bx-6q3l,BX 6Q3L,Приёмные карты,Память:,4 Gb,,,http://onbon.ru/product/receiving-cards/bx-6q3l,2026-03-28 15:53:51
ПРИ-BX_6Q3L-232,bx-6q3l,BX 6Q3L,Приёмные карты,Память:,128 Mb,,,http://onbon.ru/product/receiving-cards/bx-6q3l,2026-03-28 15:53:51
ПРИ-BX_6Q3L-232,bx-6q3l,BX 6Q3L,Приёмные карты,Память:,512 Mb,,,http://onbon.ru/product/receiving-cards/bx-6q3l,2026-03-28 15:53:51
ПРИ-BX_6Q3L-920,bx-6q3l,BX 6Q3L,Приёмные карты,Площадь управления:,"2048*128, 1024*256, 673*384, 512*512, 256*1024",,,http://onbon.ru/product/receiving-cards/bx-6q3l,2026-03-28 15:53:51
ПРИ-BX_6Q3L-920,bx-6q3l,BX 6Q3L,Приёмные карты,Площадь управления:,512*32 400*40 336*48 256*64 200*80,,,http://onbon.ru/product/receiving-cards/bx-6q3l,2026-03-28 15:53:51
ПРИ-BX_6Q3L-920,bx-6q3l,BX 6Q3L,Приёмные карты,Площадь управления:,384*256,,,http://onbon.ru/product/receiving-cards/bx-6q3l,2026-03-28 15:53:51
ПРИ-BX_6Q3L-920,bx-6q3l,BX 6Q3L,Приёмные карты,Площадь управления:,"1024*192, 768*256, 512*384, 384*512, 256*768",,,http://onbon.ru/product/receiving-cards/bx-6q3l,2026-03-28 15:53:51
ПРИ-BX_6Q3L-558,bx-6q3l,BX 6Q3L,Приёмные карты,Поддержка датчиков:,"Температура, Температура и влажность, ИК, Датчик яркости",,,http://onbon.ru/product/receiving-cards/bx-6q3l,2026-03-28 15:53:51
ПРИ-BX_6Q3L-558,bx-6q3l,BX 6Q3L,Приёмные карты,Поддержка датчиков:,"Температура, Температура и влажность, ИК",,,http://onbon.ru/product/receiving-cards/bx-6q3l,2026-03-28 15:53:51
ПРИ-BX_6Q3L-778,bx-6q3l,BX 6Q3L,Приёмные карты,Принимающие карты:,BX-V (2 шт. 50 PIN) / BX-V75 (12 шт. 15 T75) / BX-V75L,,8 шт. 15 T75,http://onbon.ru/product/receiving-cards/bx-6q3l,2026-03-28 15:53:51
ПРИ-BX_6Q3L-942,bx-6q3l,BX 6Q3L,Приёмные карты,Режим соединения:,"Ethernet, USB, 3GW",,CDMA,http://onbon.ru/product/receiving-cards/bx-6q3l,2026-03-28 15:53:51
ПРИ-BX_6Q3L-942,bx-6q3l,BX 6Q3L,Приёмные карты,Режим соединения:,100M Еthernet/RS232/RS485/USB,,,http://onbon.ru/product/receiving-cards/bx-6q3l,2026-03-28 15:53:51
ПРИ-BX_6Q3L-495,bx-6q3l,BX 6Q3L,Приёмные карты,Тип поддерживаемых модулей:,Полноцветные,,,http://onbon.ru/product/receiving-cards/bx-6q3l,2026-03-28 15:53:51
