sku,slug,model,category,parameter,value,unit,notes,url,updated
ПРИ-BX_6QL_75-456,bx-6ql-75,BX 6QL 75,Приёмные карты,Количество рядов и тип хаба:,4 разъема T75,,,http://onbon.ru/product/receiving-cards/bx-6ql-75,2026-03-28 15:54:31
ПРИ-BX_6QL_75-456,bx-6ql-75,BX 6QL 75,Приёмные карты,Количество рядов и тип хаба:,2 разъема T75; 4 разъема T08,,,http://onbon.ru/product/receiving-cards/bx-6ql-75,2026-03-28 15:54:31
ПРИ-BX_6QL_75-456,bx-6ql-75,BX 6QL 75,Приёмные карты,Количество рядов и тип хаба:,2 разъема 50PIN,,,http://onbon.ru/product/receiving-cards/bx-6ql-75,2026-03-28 15:54:31
ПРИ-BX_6QL_75-368,bx-6ql-75,BX 6QL 75,Приёмные карты,Максимальная высота:,Без ограничений,,,http://onbon.ru/product/receiving-cards/bx-6ql-75,2026-03-28 15:54:31
ПРИ-BX_6QL_75-697,bx-6ql-75,BX 6QL 75,Приёмные карты,Максимальная длина:,Без ограничений,,,http://onbon.ru/product/receiving-cards/bx-6ql-75,2026-03-28 15:54:31
ПРИ-BX_6QL_75-433,bx-6ql-75,BX 6QL 75,Приёмные карты,Максимальная мощность:,≤ 4 Вт,W,,http://onbon.ru/product/receiving-cards/bx-6ql-75,2026-03-28 15:54:31
ПРИ-BX_6QL_75-433,bx-6ql-75,BX 6QL 75,Приёмные карты,Максимальная мощность:,≤ 2 Вт,W,,http://onbon.ru/product/receiving-cards/bx-6ql-75,2026-03-28 15:54:31
ПРИ-BX_6QL_75-224,bx-6ql-75,BX 6QL 75,Приёмные карты,Напряжение:,5V,V,3.5V-6V,http://onbon.ru/product/receiving-cards/bx-6ql-75,2026-03-28 15:54:31
ПРИ-BX_6QL_75-224,bx-6ql-75,BX 6QL 75,Приёмные карты,Напряжение:,5V,V,"4~6,5V",http://onbon.ru/product/receiving-cards/bx-6ql-75,2026-03-28 15:54:31
ПРИ-BX_6QL_75-224,bx-6ql-75,BX 6QL 75,Приёмные карты,Напряжение:,5V,V,4.5V~6V,http://onbon.ru/product/receiving-cards/bx-6ql-75,2026-03-28 15:54:31
ПРИ-BX_6QL_75-224,bx-6ql-75,BX 6QL 75,Приёмные карты,Напряжение:,5V,V,4~6V,http://onbon.ru/product/receiving-cards/bx-6ql-75,2026-03-28 15:54:31
ПРИ-BX_6QL_75-232,bx-6ql-75,BX 6QL 75,Приёмные карты,Память:,512 Mb,,,http://onbon.ru/product/receiving-cards/bx-6ql-75,2026-03-28 15:54:31
ПРИ-BX_6QL_75-232,bx-6ql-75,BX 6QL 75,Приёмные карты,Память:,128 Mb,,,http://onbon.ru/product/receiving-cards/bx-6ql-75,2026-03-28 15:54:31
ПРИ-BX_6QL_75-920,bx-6ql-75,BX 6QL 75,Приёмные карты,Площадь управления:,512*32 256*64 128*128 64*256,,,http://onbon.ru/product/receiving-cards/bx-6ql-75,2026-03-28 15:54:31
ПРИ-BX_6QL_75-920,bx-6ql-75,BX 6QL 75,Приёмные карты,Площадь управления:,1280*1024 Максимальная,,,http://onbon.ru/product/receiving-cards/bx-6ql-75,2026-03-28 15:54:31
ПРИ-BX_6QL_75-920,bx-6ql-75,BX 6QL 75,Приёмные карты,Площадь управления:,512*32 400*40 336*48 256*64 200*80,,,http://onbon.ru/product/receiving-cards/bx-6ql-75,2026-03-28 15:54:31
ПРИ-BX_6QL_75-920,bx-6ql-75,BX 6QL 75,Приёмные карты,Площадь управления:,2560*1024 1280*2048 @60Hz; 2560*2048 @30Hz,Hz,,http://onbon.ru/product/receiving-cards/bx-6ql-75,2026-03-28 15:54:31
ПРИ-BX_6QL_75-920,bx-6ql-75,BX 6QL 75,Приёмные карты,Площадь управления:,384*256,,,http://onbon.ru/product/receiving-cards/bx-6ql-75,2026-03-28 15:54:31
ПРИ-BX_6QL_75-558,bx-6ql-75,BX 6QL 75,Приёмные карты,Поддержка датчиков:,"Температура, Температура и влажность, ИК, Датчик яркости",,,http://onbon.ru/product/receiving-cards/bx-6ql-75,2026-03-28 15:54:31
ПРИ-BX_6QL_75-558,bx-6ql-75,BX 6QL 75,Приёмные карты,Поддержка датчиков:,"Температура, Температура и влажность, ИК",,,http://onbon.ru/product/receiving-cards/bx-6ql-75,2026-03-28 15:54:31
ПРИ-BX_6QL_75-778,bx-6ql-75,BX 6QL 75,Приёмные карты,Принимающие карты:,BX-V (2 шт. 50 PIN) / BX-V75 (12 шт. 15 T75) / BX-V75L,,8 шт. 15 T75,http://onbon.ru/product/receiving-cards/bx-6ql-75,2026-03-28 15:54:31
ПРИ-BX_6QL_75-942,bx-6ql-75,BX 6QL 75,Приёмные карты,Режим соединения:,"Ethernet, USB, 3GW",,CDMA,http://onbon.ru/product/receiving-cards/bx-6ql-75,2026-03-28 15:54:31
ПРИ-BX_6QL_75-942,bx-6ql-75,BX 6QL 75,Приёмные карты,Режим соединения:,100M Еthernet/RS232/RS485/USB,,,http://onbon.ru/product/receiving-cards/bx-6ql-75,2026-03-28 15:54:31
ПРИ-BX_6QL_75-495,bx-6ql-75,BX 6QL 75,Приёмные карты,Тип поддерживаемых модулей:,Полноцветные,,,http://onbon.ru/product/receiving-cards/bx-6ql-75,2026-03-28 15:54:31
