sku,slug,model,category,parameter,value,unit,notes,url,updated
КОН-BX_6U1-456,bx-6u1,BX 6U1,Контроллеры BX-6x,Количество рядов и тип хаба:,4 разъема T12; 2 разъема T08; 2 разъема T75,,,http://onbon.ru/product/controllers-bx6/bx-6u1,2026-03-28 15:56:02
КОН-BX_6U1-456,bx-6u1,BX 6U1,Контроллеры BX-6x,Количество рядов и тип хаба:,4 разъема T12; 2 разъема T08,,,http://onbon.ru/product/controllers-bx6/bx-6u1,2026-03-28 15:56:02
КОН-BX_6U1-433,bx-6u1,BX 6U1,Контроллеры BX-6x,Максимальная мощность:,≤2 Вт,W,,http://onbon.ru/product/controllers-bx6/bx-6u1,2026-03-28 15:56:02
КОН-BX_6U1-433,bx-6u1,BX 6U1,Контроллеры BX-6x,Максимальная мощность:,≤1.8 Вт,W,,http://onbon.ru/product/controllers-bx6/bx-6u1,2026-03-28 15:56:02
КОН-BX_6U1-224,bx-6u1,BX 6U1,Контроллеры BX-6x,Напряжение:,5V,V,3.5V~6V,http://onbon.ru/product/controllers-bx6/bx-6u1,2026-03-28 15:56:02
КОН-BX_6U1-224,bx-6u1,BX 6U1,Контроллеры BX-6x,Напряжение:,5V,V,4.5V~6V,http://onbon.ru/product/controllers-bx6/bx-6u1,2026-03-28 15:56:02
КОН-BX_6U1-232,bx-6u1,BX 6U1,Контроллеры BX-6x,Память:,2 Mb,,,http://onbon.ru/product/controllers-bx6/bx-6u1,2026-03-28 15:56:02
КОН-BX_6U1-920,bx-6u1,BX 6U1,Контроллеры BX-6x,Площадь управления:,Один цвет 64K: 3200*16 2048*32 1024*64; Два цвета 48K: 3072*16 1536*32 768*64; Три цвета 32K: 2048*16 1024*32 512*64 256*128,,,http://onbon.ru/product/controllers-bx6/bx-6u1,2026-03-28 15:56:02
КОН-BX_6U1-920,bx-6u1,BX 6U1,Контроллеры BX-6x,Площадь управления:,Один цвет 2048*64 1024*128 672*192 512*256; Два цвета 1024*64 512*128 336*192 256*256,,,http://onbon.ru/product/controllers-bx6/bx-6u1,2026-03-28 15:56:02
КОН-BX_6U1-920,bx-6u1,BX 6U1,Контроллеры BX-6x,Площадь управления:,Один цвет 1024*16 512*32; Два цвета 512*16 256*32,,,http://onbon.ru/product/controllers-bx6/bx-6u1,2026-03-28 15:56:02
КОН-BX_6U1-920,bx-6u1,BX 6U1,Контроллеры BX-6x,Площадь управления:,Один цвет 2048*16 1024*32 672*48 512*64; Два цвета 1024*16 512*32 336*48 256*64,,,http://onbon.ru/product/controllers-bx6/bx-6u1,2026-03-28 15:56:02
КОН-BX_6U1-558,bx-6u1,BX 6U1,Контроллеры BX-6x,Поддержка датчиков:,"Температура, Температура и влажность, ИК, Яркость",,,http://onbon.ru/product/controllers-bx6/bx-6u1,2026-03-28 15:56:02
КОН-BX_6U1-558,bx-6u1,BX 6U1,Контроллеры BX-6x,Поддержка датчиков:,"Температура, Температура и влажность, ИК",,,http://onbon.ru/product/controllers-bx6/bx-6u1,2026-03-28 15:56:02
КОН-BX_6U1-942,bx-6u1,BX 6U1,Контроллеры BX-6x,Режим соединения:,USB,,,http://onbon.ru/product/controllers-bx6/bx-6u1,2026-03-28 15:56:02
КОН-BX_6U1-942,bx-6u1,BX 6U1,Контроллеры BX-6x,Режим соединения:,Ethernet,,,http://onbon.ru/product/controllers-bx6/bx-6u1,2026-03-28 15:56:02
КОН-BX_6U1-495,bx-6u1,BX 6U1,Контроллеры BX-6x,Тип поддерживаемых модулей:,"Все монохромные, двухцветные, трехцветные",,,http://onbon.ru/product/controllers-bx6/bx-6u1,2026-03-28 15:56:02
КОН-BX_6U1-495,bx-6u1,BX 6U1,Контроллеры BX-6x,Тип поддерживаемых модулей:,Все монохромные и двухцветные,,,http://onbon.ru/product/controllers-bx6/bx-6u1,2026-03-28 15:56:02
