sku,slug,model,category,parameter,value,unit,notes,url,updated
КОН-BX_6W_WIFI-456,bx-6w-wifi,BX 6W WIFI,Контроллеры BX-6x,Количество рядов и тип хаба:,8 разъемов T12; 4 разъема T08,,,http://onbon.ru/product/controllers-bx6/bx-6w-wifi,2026-03-28 15:55:44
КОН-BX_6W_WIFI-433,bx-6w-wifi,BX 6W WIFI,Контроллеры BX-6x,Максимальная мощность:,≤2 Вт,W,,http://onbon.ru/product/controllers-bx6/bx-6w-wifi,2026-03-28 15:55:44
КОН-BX_6W_WIFI-433,bx-6w-wifi,BX 6W WIFI,Контроллеры BX-6x,Максимальная мощность:,≤2.5 Вт,W,,http://onbon.ru/product/controllers-bx6/bx-6w-wifi,2026-03-28 15:55:44
КОН-BX_6W_WIFI-433,bx-6w-wifi,BX 6W WIFI,Контроллеры BX-6x,Максимальная мощность:,≤1.8 Вт,W,,http://onbon.ru/product/controllers-bx6/bx-6w-wifi,2026-03-28 15:55:44
КОН-BX_6W_WIFI-224,bx-6w-wifi,BX 6W WIFI,Контроллеры BX-6x,Напряжение:,5V,V,3.5V~6V,http://onbon.ru/product/controllers-bx6/bx-6w-wifi,2026-03-28 15:55:44
КОН-BX_6W_WIFI-224,bx-6w-wifi,BX 6W WIFI,Контроллеры BX-6x,Напряжение:,5V,V,4.5V~6V,http://onbon.ru/product/controllers-bx6/bx-6w-wifi,2026-03-28 15:55:44
КОН-BX_6W_WIFI-232,bx-6w-wifi,BX 6W WIFI,Контроллеры BX-6x,Память:,2 Mb,,,http://onbon.ru/product/controllers-bx6/bx-6w-wifi,2026-03-28 15:55:44
КОН-BX_6W_WIFI-232,bx-6w-wifi,BX 6W WIFI,Контроллеры BX-6x,Память:,4 Mb,,,http://onbon.ru/product/controllers-bx6/bx-6w-wifi,2026-03-28 15:55:44
КОН-BX_6W_WIFI-920,bx-6w-wifi,BX 6W WIFI,Контроллеры BX-6x,Площадь управления:,Один цвет 64K: 512*128 (W≤512); Два цвета 64K: 512*128,,W≤512,http://onbon.ru/product/controllers-bx6/bx-6w-wifi,2026-03-28 15:55:44
КОН-BX_6W_WIFI-920,bx-6w-wifi,BX 6W WIFI,Контроллеры BX-6x,Площадь управления:,Один цвет 2048*128 1344*192 1024*256; Два цвета 2048*128 1344*192 1024*256,,,http://onbon.ru/product/controllers-bx6/bx-6w-wifi,2026-03-28 15:55:44
КОН-BX_6W_WIFI-920,bx-6w-wifi,BX 6W WIFI,Контроллеры BX-6x,Площадь управления:,Один цвет 512*256,,,http://onbon.ru/product/controllers-bx6/bx-6w-wifi,2026-03-28 15:55:44
КОН-BX_6W_WIFI-920,bx-6w-wifi,BX 6W WIFI,Контроллеры BX-6x,Площадь управления:,Один цвет 3200*16 3200*32 2688*48 2048*64; Два цвета 3200*16 2048*32 1344*48 1024*64,,,http://onbon.ru/product/controllers-bx6/bx-6w-wifi,2026-03-28 15:55:44
КОН-BX_6W_WIFI-920,bx-6w-wifi,BX 6W WIFI,Контроллеры BX-6x,Площадь управления:,Один цвет 3200*32 2048*64 1344*96 1024*128; Два цвета 2048*32 1024*64 672*96 512*128,,,http://onbon.ru/product/controllers-bx6/bx-6w-wifi,2026-03-28 15:55:44
КОН-BX_6W_WIFI-558,bx-6w-wifi,BX 6W WIFI,Контроллеры BX-6x,Поддержка датчиков:,"Температура, Температура и влажность, ИК, Яркость",,,http://onbon.ru/product/controllers-bx6/bx-6w-wifi,2026-03-28 15:55:44
КОН-BX_6W_WIFI-558,bx-6w-wifi,BX 6W WIFI,Контроллеры BX-6x,Поддержка датчиков:,"Температура, Температура и влажность, ИК",,,http://onbon.ru/product/controllers-bx6/bx-6w-wifi,2026-03-28 15:55:44
КОН-BX_6W_WIFI-942,bx-6w-wifi,BX 6W WIFI,Контроллеры BX-6x,Режим соединения:,"WiFi, USB",,,http://onbon.ru/product/controllers-bx6/bx-6w-wifi,2026-03-28 15:55:44
КОН-BX_6W_WIFI-942,bx-6w-wifi,BX 6W WIFI,Контроллеры BX-6x,Режим соединения:,RS232/USB ближний беспроводной,,,http://onbon.ru/product/controllers-bx6/bx-6w-wifi,2026-03-28 15:55:44
КОН-BX_6W_WIFI-942,bx-6w-wifi,BX 6W WIFI,Контроллеры BX-6x,Режим соединения:,USB,,,http://onbon.ru/product/controllers-bx6/bx-6w-wifi,2026-03-28 15:55:44
КОН-BX_6W_WIFI-942,bx-6w-wifi,BX 6W WIFI,Контроллеры BX-6x,Режим соединения:,Ethernet,,,http://onbon.ru/product/controllers-bx6/bx-6w-wifi,2026-03-28 15:55:44
КОН-BX_6W_WIFI-495,bx-6w-wifi,BX 6W WIFI,Контроллеры BX-6x,Тип поддерживаемых модулей:,"Все монохромные, двухцветные",,,http://onbon.ru/product/controllers-bx6/bx-6w-wifi,2026-03-28 15:55:44
КОН-BX_6W_WIFI-495,bx-6w-wifi,BX 6W WIFI,Контроллеры BX-6x,Тип поддерживаемых модулей:,Все монохромные и двухцветные,,,http://onbon.ru/product/controllers-bx6/bx-6w-wifi,2026-03-28 15:55:44
