sku,slug,model,category,parameter,value,unit,notes,url,updated
КОН-BX_6W3_WIF-456,bx-6w3-wifi,BX 6W3 WIFI,Контроллеры BX-6x,Количество рядов и тип хаба:,8 разъемов T12; 4 разъема T08,,,http://onbon.ru/product/controllers-bx6/bx-6w3-wifi,2026-03-28 15:55:42
КОН-BX_6W3_WIF-456,bx-6w3-wifi,BX 6W3 WIFI,Контроллеры BX-6x,Количество рядов и тип хаба:,4 разъема T12; 2 разъема T08,,,http://onbon.ru/product/controllers-bx6/bx-6w3-wifi,2026-03-28 15:55:42
КОН-BX_6W3_WIF-433,bx-6w3-wifi,BX 6W3 WIFI,Контроллеры BX-6x,Максимальная мощность:,≤2 Вт,W,,http://onbon.ru/product/controllers-bx6/bx-6w3-wifi,2026-03-28 15:55:42
КОН-BX_6W3_WIF-433,bx-6w3-wifi,BX 6W3 WIFI,Контроллеры BX-6x,Максимальная мощность:,≤ 1.8 Вт,W,,http://onbon.ru/product/controllers-bx6/bx-6w3-wifi,2026-03-28 15:55:42
КОН-BX_6W3_WIF-433,bx-6w3-wifi,BX 6W3 WIFI,Контроллеры BX-6x,Максимальная мощность:,≤2.5 Вт,W,,http://onbon.ru/product/controllers-bx6/bx-6w3-wifi,2026-03-28 15:55:42
КОН-BX_6W3_WIF-224,bx-6w3-wifi,BX 6W3 WIFI,Контроллеры BX-6x,Напряжение:,5V,V,3.5V~6V,http://onbon.ru/product/controllers-bx6/bx-6w3-wifi,2026-03-28 15:55:42
КОН-BX_6W3_WIF-224,bx-6w3-wifi,BX 6W3 WIFI,Контроллеры BX-6x,Напряжение:,5V,V,4.5V~6V,http://onbon.ru/product/controllers-bx6/bx-6w3-wifi,2026-03-28 15:55:42
КОН-BX_6W3_WIF-232,bx-6w3-wifi,BX 6W3 WIFI,Контроллеры BX-6x,Память:,2 Mb,,,http://onbon.ru/product/controllers-bx6/bx-6w3-wifi,2026-03-28 15:55:42
КОН-BX_6W3_WIF-232,bx-6w3-wifi,BX 6W3 WIFI,Контроллеры BX-6x,Память:,4 Mb,,,http://onbon.ru/product/controllers-bx6/bx-6w3-wifi,2026-03-28 15:55:42
КОН-BX_6W3_WIF-920,bx-6w3-wifi,BX 6W3 WIFI,Контроллеры BX-6x,Площадь управления:,Один цвет 128K: 3200*32 2048*64 1024*128; Два цвета 96K: 3072*32 1536*64 768*128,,,http://onbon.ru/product/controllers-bx6/bx-6w3-wifi,2026-03-28 15:55:42
КОН-BX_6W3_WIF-920,bx-6w3-wifi,BX 6W3 WIFI,Контроллеры BX-6x,Площадь управления:,Один цвет 2048*16 1024*32 672*48 512*64; Два цвета 1024*16 512*32 336*48 256*64,,,http://onbon.ru/product/controllers-bx6/bx-6w3-wifi,2026-03-28 15:55:42
КОН-BX_6W3_WIF-920,bx-6w3-wifi,BX 6W3 WIFI,Контроллеры BX-6x,Площадь управления:,Один цвет 2048*64 1024*128 672*192 512*256; Два цвета 1024*64 512*128 336*192 256*256,,,http://onbon.ru/product/controllers-bx6/bx-6w3-wifi,2026-03-28 15:55:42
КОН-BX_6W3_WIF-920,bx-6w3-wifi,BX 6W3 WIFI,Контроллеры BX-6x,Площадь управления:,Один цвет 2048*128 1344*192 1024*256; Два цвета 2048*128 1344*192 1024*256,,,http://onbon.ru/product/controllers-bx6/bx-6w3-wifi,2026-03-28 15:55:42
КОН-BX_6W3_WIF-920,bx-6w3-wifi,BX 6W3 WIFI,Контроллеры BX-6x,Площадь управления:,Один цвет 3200*32 2112*48 1600*64; Два цвета 1600*32 1056*48 800*64,,,http://onbon.ru/product/controllers-bx6/bx-6w3-wifi,2026-03-28 15:55:42
КОН-BX_6W3_WIF-558,bx-6w3-wifi,BX 6W3 WIFI,Контроллеры BX-6x,Поддержка датчиков:,"Температура, Температура и влажность, ИК, Яркость",,,http://onbon.ru/product/controllers-bx6/bx-6w3-wifi,2026-03-28 15:55:42
КОН-BX_6W3_WIF-558,bx-6w3-wifi,BX 6W3 WIFI,Контроллеры BX-6x,Поддержка датчиков:,"Температура, Температура и влажность, ИК",,,http://onbon.ru/product/controllers-bx6/bx-6w3-wifi,2026-03-28 15:55:42
КОН-BX_6W3_WIF-942,bx-6w3-wifi,BX 6W3 WIFI,Контроллеры BX-6x,Режим соединения:,"WiFi, USB",,,http://onbon.ru/product/controllers-bx6/bx-6w3-wifi,2026-03-28 15:55:42
КОН-BX_6W3_WIF-942,bx-6w3-wifi,BX 6W3 WIFI,Контроллеры BX-6x,Режим соединения:,Ethernet,,,http://onbon.ru/product/controllers-bx6/bx-6w3-wifi,2026-03-28 15:55:42
КОН-BX_6W3_WIF-942,bx-6w3-wifi,BX 6W3 WIFI,Контроллеры BX-6x,Режим соединения:,USB,,,http://onbon.ru/product/controllers-bx6/bx-6w3-wifi,2026-03-28 15:55:42
КОН-BX_6W3_WIF-942,bx-6w3-wifi,BX 6W3 WIFI,Контроллеры BX-6x,Режим соединения:,RS232/USB ближний беспроводной,,,http://onbon.ru/product/controllers-bx6/bx-6w3-wifi,2026-03-28 15:55:42
КОН-BX_6W3_WIF-495,bx-6w3-wifi,BX 6W3 WIFI,Контроллеры BX-6x,Тип поддерживаемых модулей:,"Все монохромные, двухцветные",,,http://onbon.ru/product/controllers-bx6/bx-6w3-wifi,2026-03-28 15:55:42
КОН-BX_6W3_WIF-495,bx-6w3-wifi,BX 6W3 WIFI,Контроллеры BX-6x,Тип поддерживаемых модулей:,Все монохромные и двухцветные,,,http://onbon.ru/product/controllers-bx6/bx-6w3-wifi,2026-03-28 15:55:42
