sku,slug,model,category,parameter,value,unit,notes,url,updated
КОН-BX_6WT_081-456,bx-6wt-0812-wifi,BX 6WT 0812 WIFI,Контроллеры BX-6x,Количество рядов и тип хаба:,4 разъема T12; 2 разъема T08,,,http://onbon.ru/product/controllers-bx6/bx-6wt-0812-wifi,2026-03-28 15:55:40
КОН-BX_6WT_081-433,bx-6wt-0812-wifi,BX 6WT 0812 WIFI,Контроллеры BX-6x,Максимальная мощность:,≤2 Вт,W,,http://onbon.ru/product/controllers-bx6/bx-6wt-0812-wifi,2026-03-28 15:55:40
КОН-BX_6WT_081-433,bx-6wt-0812-wifi,BX 6WT 0812 WIFI,Контроллеры BX-6x,Максимальная мощность:,"≤ 0,6 Вт",W,,http://onbon.ru/product/controllers-bx6/bx-6wt-0812-wifi,2026-03-28 15:55:40
КОН-BX_6WT_081-224,bx-6wt-0812-wifi,BX 6WT 0812 WIFI,Контроллеры BX-6x,Напряжение:,5V,V,3.5V~6V,http://onbon.ru/product/controllers-bx6/bx-6wt-0812-wifi,2026-03-28 15:55:40
КОН-BX_6WT_081-224,bx-6wt-0812-wifi,BX 6WT 0812 WIFI,Контроллеры BX-6x,Напряжение:,5V,V,4.5V~6V,http://onbon.ru/product/controllers-bx6/bx-6wt-0812-wifi,2026-03-28 15:55:40
КОН-BX_6WT_081-232,bx-6wt-0812-wifi,BX 6WT 0812 WIFI,Контроллеры BX-6x,Память:,2 Mb,,,http://onbon.ru/product/controllers-bx6/bx-6wt-0812-wifi,2026-03-28 15:55:40
КОН-BX_6WT_081-920,bx-6wt-0812-wifi,BX 6WT 0812 WIFI,Контроллеры BX-6x,Площадь управления:,Один цвет 16K: 1024*16 512*32 336*48 256*64; Два цвета 16K: 1024*16 512*32 336*48 256*64,,,http://onbon.ru/product/controllers-bx6/bx-6wt-0812-wifi,2026-03-28 15:55:40
КОН-BX_6WT_081-920,bx-6wt-0812-wifi,BX 6WT 0812 WIFI,Контроллеры BX-6x,Площадь управления:,Один цвет 512*256,,,http://onbon.ru/product/controllers-bx6/bx-6wt-0812-wifi,2026-03-28 15:55:40
КОН-BX_6WT_081-920,bx-6wt-0812-wifi,BX 6WT 0812 WIFI,Контроллеры BX-6x,Площадь управления:,Один цвет 3200*16 2048*32 1344*48 1024*64; Два цвета 1600*16 1024*32 672*48 512*64,,,http://onbon.ru/product/controllers-bx6/bx-6wt-0812-wifi,2026-03-28 15:55:40
КОН-BX_6WT_081-920,bx-6wt-0812-wifi,BX 6WT 0812 WIFI,Контроллеры BX-6x,Площадь управления:,Один цвет 1024*16 512*32; Два цвета 512*16 256*32,,,http://onbon.ru/product/controllers-bx6/bx-6wt-0812-wifi,2026-03-28 15:55:40
КОН-BX_6WT_081-920,bx-6wt-0812-wifi,BX 6WT 0812 WIFI,Контроллеры BX-6x,Площадь управления:,Один цвет 640*16 320*32; Два цвета 320*16 160*32,,,http://onbon.ru/product/controllers-bx6/bx-6wt-0812-wifi,2026-03-28 15:55:40
КОН-BX_6WT_081-558,bx-6wt-0812-wifi,BX 6WT 0812 WIFI,Контроллеры BX-6x,Поддержка датчиков:,"Температура, Температура и влажность, ИК, Яркость",,,http://onbon.ru/product/controllers-bx6/bx-6wt-0812-wifi,2026-03-28 15:55:40
КОН-BX_6WT_081-558,bx-6wt-0812-wifi,BX 6WT 0812 WIFI,Контроллеры BX-6x,Поддержка датчиков:,"Температура, Температура и влажность, ИК",,,http://onbon.ru/product/controllers-bx6/bx-6wt-0812-wifi,2026-03-28 15:55:40
КОН-BX_6WT_081-942,bx-6wt-0812-wifi,BX 6WT 0812 WIFI,Контроллеры BX-6x,Режим соединения:,"WiFi, USB",,,http://onbon.ru/product/controllers-bx6/bx-6wt-0812-wifi,2026-03-28 15:55:40
КОН-BX_6WT_081-942,bx-6wt-0812-wifi,BX 6WT 0812 WIFI,Контроллеры BX-6x,Режим соединения:,USB,,,http://onbon.ru/product/controllers-bx6/bx-6wt-0812-wifi,2026-03-28 15:55:40
КОН-BX_6WT_081-942,bx-6wt-0812-wifi,BX 6WT 0812 WIFI,Контроллеры BX-6x,Режим соединения:,"Ethernet, USB",,,http://onbon.ru/product/controllers-bx6/bx-6wt-0812-wifi,2026-03-28 15:55:40
КОН-BX_6WT_081-495,bx-6wt-0812-wifi,BX 6WT 0812 WIFI,Контроллеры BX-6x,Тип поддерживаемых модулей:,"Все монохромные, двухцветные",,,http://onbon.ru/product/controllers-bx6/bx-6wt-0812-wifi,2026-03-28 15:55:40
КОН-BX_6WT_081-495,bx-6wt-0812-wifi,BX 6WT 0812 WIFI,Контроллеры BX-6x,Тип поддерживаемых модулей:,Все монохромные и двухцветные,,,http://onbon.ru/product/controllers-bx6/bx-6wt-0812-wifi,2026-03-28 15:55:40
