sku,slug,model,category,parameter,value,unit,notes,url,updated
АКС-BX_DC-456,bx-dc,BX DC,Аксессуары,Количество рядов и тип хаба:,8 разъемов T12; 4 разъема T08,,,http://onbon.ru/product/accessories/bx-dc,2026-03-28 15:54:09
АКС-BX_DC-433,bx-dc,BX DC,Аксессуары,Максимальная мощность:,≤1 Вт,W,,http://onbon.ru/product/accessories/bx-dc,2026-03-28 15:54:09
АКС-BX_DC-433,bx-dc,BX DC,Аксессуары,Максимальная мощность:,≤2 Вт,W,,http://onbon.ru/product/accessories/bx-dc,2026-03-28 15:54:09
АКС-BX_DC-433,bx-dc,BX DC,Аксессуары,Максимальная мощность:,≤1.8 Вт,W,,http://onbon.ru/product/accessories/bx-dc,2026-03-28 15:54:09
АКС-BX_DC-224,bx-dc,BX DC,Аксессуары,Напряжение:,5V,V,4.5V~6V,http://onbon.ru/product/accessories/bx-dc,2026-03-28 15:54:09
АКС-BX_DC-232,bx-dc,BX DC,Аксессуары,Память:,2 Mb,,,http://onbon.ru/product/accessories/bx-dc,2026-03-28 15:54:09
АКС-BX_DC-920,bx-dc,BX DC,Аксессуары,Площадь управления:,960*48,,,http://onbon.ru/product/accessories/bx-dc,2026-03-28 15:54:09
АКС-BX_DC-920,bx-dc,BX DC,Аксессуары,Площадь управления:,Один цвет 1024*16 512*32; Два цвета 512*16 256*32,,,http://onbon.ru/product/accessories/bx-dc,2026-03-28 15:54:09
АКС-BX_DC-920,bx-dc,BX DC,Аксессуары,Площадь управления:,Один цвет 3200*16 3200*32 2688*48 2048*64; Два цвета 3200*16 2048*32 1344*48 1024*64,,,http://onbon.ru/product/accessories/bx-dc,2026-03-28 15:54:09
АКС-BX_DC-920,bx-dc,BX DC,Аксессуары,Площадь управления:,Один цвет 640*16 320*32; Два цвета 320*16 160*32,,,http://onbon.ru/product/accessories/bx-dc,2026-03-28 15:54:09
АКС-BX_DC-920,bx-dc,BX DC,Аксессуары,Площадь управления:,Один цвет 3200*32 2048*64 1344*96 1024*128; Два цвета 2048*32 1024*64 672*96 512*128,,,http://onbon.ru/product/accessories/bx-dc,2026-03-28 15:54:09
АКС-BX_DC-558,bx-dc,BX DC,Аксессуары,Поддержка датчиков:,"Температура, Температура и влажность, ИК",,,http://onbon.ru/product/accessories/bx-dc,2026-03-28 15:54:09
АКС-BX_DC-942,bx-dc,BX DC,Аксессуары,Режим соединения:,ИК пульт,,предустановлен,http://onbon.ru/product/accessories/bx-dc,2026-03-28 15:54:09
АКС-BX_DC-942,bx-dc,BX DC,Аксессуары,Режим соединения:,USB,,,http://onbon.ru/product/accessories/bx-dc,2026-03-28 15:54:09
АКС-BX_DC-942,bx-dc,BX DC,Аксессуары,Режим соединения:,Ethernet,,,http://onbon.ru/product/accessories/bx-dc,2026-03-28 15:54:09
АКС-BX_DC-495,bx-dc,BX DC,Аксессуары,Тип поддерживаемых модулей:,Все монохромные и двухцветные,,,http://onbon.ru/product/accessories/bx-dc,2026-03-28 15:54:09
