sku,slug,model,category,parameter,value,unit,notes,url,updated
ПРИ-BX_V_RECEI-499,bx-v-receiving-card,BX V RECEIVING CARD,Приёмные карты,Внешняя память:,Max 4 Gb,,,http://onbon.ru/product/receiving-cards/bx-v-receiving-card,2026-03-28 15:51:20
ПРИ-BX_V_RECEI-420,bx-v-receiving-card,BX V RECEIVING CARD,Приёмные карты,Вывод звука:,"Есть, Jack 3.5 мм",mm,,http://onbon.ru/product/receiving-cards/bx-v-receiving-card,2026-03-28 15:51:20
ПРИ-BX_V_RECEI-456,bx-v-receiving-card,BX V RECEIVING CARD,Приёмные карты,Количество рядов и тип хаба:,2 разъема 50PIN,,,http://onbon.ru/product/receiving-cards/bx-v-receiving-card,2026-03-28 15:51:20
ПРИ-BX_V_RECEI-456,bx-v-receiving-card,BX V RECEIVING CARD,Приёмные карты,Количество рядов и тип хаба:,8 разъемов T75,,,http://onbon.ru/product/receiving-cards/bx-v-receiving-card,2026-03-28 15:51:20
ПРИ-BX_V_RECEI-559,bx-v-receiving-card,BX V RECEIVING CARD,Приёмные карты,Конфигурация оборудования:,"Программное декодирование, Процессор 1GHz, 512MB DRAM",,,http://onbon.ru/product/receiving-cards/bx-v-receiving-card,2026-03-28 15:51:20
ПРИ-BX_V_RECEI-433,bx-v-receiving-card,BX V RECEIVING CARD,Приёмные карты,Максимальная мощность:,≤ 4 Вт,W,,http://onbon.ru/product/receiving-cards/bx-v-receiving-card,2026-03-28 15:51:20
ПРИ-BX_V_RECEI-224,bx-v-receiving-card,BX V RECEIVING CARD,Приёмные карты,Напряжение:,5V,V,4~6V,http://onbon.ru/product/receiving-cards/bx-v-receiving-card,2026-03-28 15:51:20
ПРИ-BX_V_RECEI-224,bx-v-receiving-card,BX V RECEIVING CARD,Приёмные карты,Напряжение:,5V,V,"4~6,5V",http://onbon.ru/product/receiving-cards/bx-v-receiving-card,2026-03-28 15:51:20
ПРИ-BX_V_RECEI-224,bx-v-receiving-card,BX V RECEIVING CARD,Приёмные карты,Напряжение:,5V,V,3.5V~6V,http://onbon.ru/product/receiving-cards/bx-v-receiving-card,2026-03-28 15:51:20
ПРИ-BX_V_RECEI-232,bx-v-receiving-card,BX V RECEIVING CARD,Приёмные карты,Память:,1 Gb,,,http://onbon.ru/product/receiving-cards/bx-v-receiving-card,2026-03-28 15:51:20
ПРИ-BX_V_RECEI-920,bx-v-receiving-card,BX V RECEIVING CARD,Приёмные карты,Площадь управления:,384*256,,,http://onbon.ru/product/receiving-cards/bx-v-receiving-card,2026-03-28 15:51:20
ПРИ-BX_V_RECEI-920,bx-v-receiving-card,BX V RECEIVING CARD,Приёмные карты,Площадь управления:,1280*1024 Максимальная,,,http://onbon.ru/product/receiving-cards/bx-v-receiving-card,2026-03-28 15:51:20
ПРИ-BX_V_RECEI-920,bx-v-receiving-card,BX V RECEIVING CARD,Приёмные карты,Площадь управления:,1280*1024,,,http://onbon.ru/product/receiving-cards/bx-v-receiving-card,2026-03-28 15:51:20
ПРИ-BX_V_RECEI-558,bx-v-receiving-card,BX V RECEIVING CARD,Приёмные карты,Поддержка датчиков:,"Температура, Температура и влажность, ИК пульт, Датчик яркости",,,http://onbon.ru/product/receiving-cards/bx-v-receiving-card,2026-03-28 15:51:20
ПРИ-BX_V_RECEI-778,bx-v-receiving-card,BX V RECEIVING CARD,Приёмные карты,Принимающие карты:,BX-V (2 шт. 50 PIN) / BX-V75 (12 шт. 15 T75) / BX-V75L,,8 шт. 15 T75,http://onbon.ru/product/receiving-cards/bx-v-receiving-card,2026-03-28 15:51:20
ПРИ-BX_V_RECEI-942,bx-v-receiving-card,BX V RECEIVING CARD,Приёмные карты,Режим соединения:,"Ethernet, USB-port, SD",,,http://onbon.ru/product/receiving-cards/bx-v-receiving-card,2026-03-28 15:51:20
ПРИ-BX_V_RECEI-495,bx-v-receiving-card,BX V RECEIVING CARD,Приёмные карты,Тип поддерживаемых модулей:,Полноцветные,,,http://onbon.ru/product/receiving-cards/bx-v-receiving-card,2026-03-28 15:51:20
