sku,slug,model,category,parameter,value,unit,notes,url,updated
ПРИ-BX_V75_REC-499,bx-v75-receiving-card,BX V75 RECEIVING CARD,Приёмные карты,Внешняя память:,Max 4Gb,,,http://onbon.ru/product/receiving-cards/bx-v75-receiving-card,2026-03-28 15:53:37
ПРИ-BX_V75_REC-420,bx-v75-receiving-card,BX V75 RECEIVING CARD,Приёмные карты,Вывод звука:,"Есть, Jack 3.5 мм",mm,,http://onbon.ru/product/receiving-cards/bx-v75-receiving-card,2026-03-28 15:53:37
ПРИ-BX_V75_REC-456,bx-v75-receiving-card,BX V75 RECEIVING CARD,Приёмные карты,Количество рядов и тип хаба:,12 разъемов T75,,,http://onbon.ru/product/receiving-cards/bx-v75-receiving-card,2026-03-28 15:53:37
ПРИ-BX_V75_REC-559,bx-v75-receiving-card,BX V75 RECEIVING CARD,Приёмные карты,Конфигурация оборудования:,"Программное декодирование, Процессор 1GHz, 512MB DRAM",,,http://onbon.ru/product/receiving-cards/bx-v75-receiving-card,2026-03-28 15:53:37
ПРИ-BX_V75_REC-368,bx-v75-receiving-card,BX V75 RECEIVING CARD,Приёмные карты,Максимальная высота:,Без ограничений,,,http://onbon.ru/product/receiving-cards/bx-v75-receiving-card,2026-03-28 15:53:37
ПРИ-BX_V75_REC-697,bx-v75-receiving-card,BX V75 RECEIVING CARD,Приёмные карты,Максимальная длина:,Без ограничений,,,http://onbon.ru/product/receiving-cards/bx-v75-receiving-card,2026-03-28 15:53:37
ПРИ-BX_V75_REC-433,bx-v75-receiving-card,BX V75 RECEIVING CARD,Приёмные карты,Максимальная мощность:,≤ 4 Вт,W,,http://onbon.ru/product/receiving-cards/bx-v75-receiving-card,2026-03-28 15:53:37
ПРИ-BX_V75_REC-224,bx-v75-receiving-card,BX V75 RECEIVING CARD,Приёмные карты,Напряжение:,5V,V,4~6V,http://onbon.ru/product/receiving-cards/bx-v75-receiving-card,2026-03-28 15:53:37
ПРИ-BX_V75_REC-224,bx-v75-receiving-card,BX V75 RECEIVING CARD,Приёмные карты,Напряжение:,5V,V,"4~6,5V",http://onbon.ru/product/receiving-cards/bx-v75-receiving-card,2026-03-28 15:53:37
ПРИ-BX_V75_REC-224,bx-v75-receiving-card,BX V75 RECEIVING CARD,Приёмные карты,Напряжение:,5V,V,3.5V~6V,http://onbon.ru/product/receiving-cards/bx-v75-receiving-card,2026-03-28 15:53:37
ПРИ-BX_V75_REC-224,bx-v75-receiving-card,BX V75 RECEIVING CARD,Приёмные карты,Напряжение:,5V,V,3.5V-6V,http://onbon.ru/product/receiving-cards/bx-v75-receiving-card,2026-03-28 15:53:37
