sku,slug,model,category,parameter,value,unit,notes,url,updated
ПРИ-BX_V75L_RE-456,bx-v75l-receiving-card,BX V75L RECEIVING CARD,Приёмные карты,Количество рядов и тип хаба:,8 разъемов T75,,,http://onbon.ru/product/receiving-cards/bx-v75l-receiving-card,2026-03-28 15:51:24
ПРИ-BX_V75L_RE-456,bx-v75l-receiving-card,BX V75L RECEIVING CARD,Приёмные карты,Количество рядов и тип хаба:,2 разъема 50PIN,,,http://onbon.ru/product/receiving-cards/bx-v75l-receiving-card,2026-03-28 15:51:24
ПРИ-BX_V75L_RE-456,bx-v75l-receiving-card,BX V75L RECEIVING CARD,Приёмные карты,Количество рядов и тип хаба:,2 разъема T75; 4 разъема T08,,,http://onbon.ru/product/receiving-cards/bx-v75l-receiving-card,2026-03-28 15:51:24
ПРИ-BX_V75L_RE-368,bx-v75l-receiving-card,BX V75L RECEIVING CARD,Приёмные карты,Максимальная высота:,Без ограничений,,,http://onbon.ru/product/receiving-cards/bx-v75l-receiving-card,2026-03-28 15:51:24
ПРИ-BX_V75L_RE-697,bx-v75l-receiving-card,BX V75L RECEIVING CARD,Приёмные карты,Максимальная длина:,Без ограничений,,,http://onbon.ru/product/receiving-cards/bx-v75l-receiving-card,2026-03-28 15:51:24
ПРИ-BX_V75L_RE-433,bx-v75l-receiving-card,BX V75L RECEIVING CARD,Приёмные карты,Максимальная мощность:,≤ 4 Вт,W,,http://onbon.ru/product/receiving-cards/bx-v75l-receiving-card,2026-03-28 15:51:24
ПРИ-BX_V75L_RE-433,bx-v75l-receiving-card,BX V75L RECEIVING CARD,Приёмные карты,Максимальная мощность:,≤ 2 Вт,W,,http://onbon.ru/product/receiving-cards/bx-v75l-receiving-card,2026-03-28 15:51:24
ПРИ-BX_V75L_RE-224,bx-v75l-receiving-card,BX V75L RECEIVING CARD,Приёмные карты,Напряжение:,5V,V,4~6V,http://onbon.ru/product/receiving-cards/bx-v75l-receiving-card,2026-03-28 15:51:24
ПРИ-BX_V75L_RE-224,bx-v75l-receiving-card,BX V75L RECEIVING CARD,Приёмные карты,Напряжение:,5V,V,"4~6,5V",http://onbon.ru/product/receiving-cards/bx-v75l-receiving-card,2026-03-28 15:51:24
ПРИ-BX_V75L_RE-224,bx-v75l-receiving-card,BX V75L RECEIVING CARD,Приёмные карты,Напряжение:,5V,V,4.5V~6V,http://onbon.ru/product/receiving-cards/bx-v75l-receiving-card,2026-03-28 15:51:24
ПРИ-BX_V75L_RE-224,bx-v75l-receiving-card,BX V75L RECEIVING CARD,Приёмные карты,Напряжение:,5V,V,3.5V-6V,http://onbon.ru/product/receiving-cards/bx-v75l-receiving-card,2026-03-28 15:51:24
ПРИ-BX_V75L_RE-232,bx-v75l-receiving-card,BX V75L RECEIVING CARD,Приёмные карты,Память:,128 Mb,,,http://onbon.ru/product/receiving-cards/bx-v75l-receiving-card,2026-03-28 15:51:24
ПРИ-BX_V75L_RE-232,bx-v75l-receiving-card,BX V75L RECEIVING CARD,Приёмные карты,Память:,4 Gb,,,http://onbon.ru/product/receiving-cards/bx-v75l-receiving-card,2026-03-28 15:51:24
ПРИ-BX_V75L_RE-920,bx-v75l-receiving-card,BX V75L RECEIVING CARD,Приёмные карты,Площадь управления:,384*256,,,http://onbon.ru/product/receiving-cards/bx-v75l-receiving-card,2026-03-28 15:51:24
ПРИ-BX_V75L_RE-920,bx-v75l-receiving-card,BX V75L RECEIVING CARD,Приёмные карты,Площадь управления:,2560*1024 1280*2048 @60Hz; 2560*2048 @30Hz,Hz,,http://onbon.ru/product/receiving-cards/bx-v75l-receiving-card,2026-03-28 15:51:24
ПРИ-BX_V75L_RE-920,bx-v75l-receiving-card,BX V75L RECEIVING CARD,Приёмные карты,Площадь управления:,512*32 400*40 336*48 256*64 200*80,,,http://onbon.ru/product/receiving-cards/bx-v75l-receiving-card,2026-03-28 15:51:24
ПРИ-BX_V75L_RE-920,bx-v75l-receiving-card,BX V75L RECEIVING CARD,Приёмные карты,Площадь управления:,"2048*128, 1024*256, 673*384, 512*512, 256*1024",,,http://onbon.ru/product/receiving-cards/bx-v75l-receiving-card,2026-03-28 15:51:24
ПРИ-BX_V75L_RE-558,bx-v75l-receiving-card,BX V75L RECEIVING CARD,Приёмные карты,Поддержка датчиков:,"Температура, Температура и влажность, ИК",,,http://onbon.ru/product/receiving-cards/bx-v75l-receiving-card,2026-03-28 15:51:24
ПРИ-BX_V75L_RE-558,bx-v75l-receiving-card,BX V75L RECEIVING CARD,Приёмные карты,Поддержка датчиков:,"Температура, Температура и влажность, ИК, Датчик яркости",,,http://onbon.ru/product/receiving-cards/bx-v75l-receiving-card,2026-03-28 15:51:24
ПРИ-BX_V75L_RE-778,bx-v75l-receiving-card,BX V75L RECEIVING CARD,Приёмные карты,Принимающие карты:,BX-V (2 шт. 50 PIN) / BX-V75 (12 шт. 15 T75) / BX-V75L,,8 шт. 15 T75,http://onbon.ru/product/receiving-cards/bx-v75l-receiving-card,2026-03-28 15:51:24
ПРИ-BX_V75L_RE-942,bx-v75l-receiving-card,BX V75L RECEIVING CARD,Приёмные карты,Режим соединения:,100M Еthernet/RS232/RS485/USB,,,http://onbon.ru/product/receiving-cards/bx-v75l-receiving-card,2026-03-28 15:51:24
ПРИ-BX_V75L_RE-942,bx-v75l-receiving-card,BX V75L RECEIVING CARD,Приёмные карты,Режим соединения:,"Ethernet, USB, 3GW",,CDMA,http://onbon.ru/product/receiving-cards/bx-v75l-receiving-card,2026-03-28 15:51:24
ПРИ-BX_V75L_RE-495,bx-v75l-receiving-card,BX V75L RECEIVING CARD,Приёмные карты,Тип поддерживаемых модулей:,Полноцветные,,,http://onbon.ru/product/receiving-cards/bx-v75l-receiving-card,2026-03-28 15:51:24
