sku,slug,model,category,parameter,value,unit,notes,url,updated
ПЕР-BX_VH_EXTE-456,bx-vh-external-sending-box,BX VH EXTERNAL SENDING BOX,Передающие карты/боксы,Количество рядов и тип хаба:,12 разъемов T75,,,http://onbon.ru/product/sending-cards/bx-vh-external-sending-box,2026-03-28 15:51:18
ПЕР-BX_VH_EXTE-456,bx-vh-external-sending-box,BX VH EXTERNAL SENDING BOX,Передающие карты/боксы,Количество рядов и тип хаба:,5 разъемов T75,,,http://onbon.ru/product/sending-cards/bx-vh-external-sending-box,2026-03-28 15:51:18
ПЕР-BX_VH_EXTE-456,bx-vh-external-sending-box,BX VH EXTERNAL SENDING BOX,Передающие карты/боксы,Количество рядов и тип хаба:,4 разъема T75,,,http://onbon.ru/product/sending-cards/bx-vh-external-sending-box,2026-03-28 15:51:18
ПЕР-BX_VH_EXTE-433,bx-vh-external-sending-box,BX VH EXTERNAL SENDING BOX,Передающие карты/боксы,Максимальная мощность:,≤ 4 Вт,W,,http://onbon.ru/product/sending-cards/bx-vh-external-sending-box,2026-03-28 15:51:18
ПЕР-BX_VH_EXTE-433,bx-vh-external-sending-box,BX VH EXTERNAL SENDING BOX,Передающие карты/боксы,Максимальная мощность:,"≤ 2,5 Вт",W,,http://onbon.ru/product/sending-cards/bx-vh-external-sending-box,2026-03-28 15:51:18
ПЕР-BX_VH_EXTE-224,bx-vh-external-sending-box,BX VH EXTERNAL SENDING BOX,Передающие карты/боксы,Напряжение:,5V,V,"4~6,5V",http://onbon.ru/product/sending-cards/bx-vh-external-sending-box,2026-03-28 15:51:18
ПЕР-BX_VH_EXTE-224,bx-vh-external-sending-box,BX VH EXTERNAL SENDING BOX,Передающие карты/боксы,Напряжение:,5V,V,3.5V-6V,http://onbon.ru/product/sending-cards/bx-vh-external-sending-box,2026-03-28 15:51:18
ПЕР-BX_VH_EXTE-224,bx-vh-external-sending-box,BX VH EXTERNAL SENDING BOX,Передающие карты/боксы,Напряжение:,5V,V,4~6V,http://onbon.ru/product/sending-cards/bx-vh-external-sending-box,2026-03-28 15:51:18
ПЕР-BX_VH_EXTE-224,bx-vh-external-sending-box,BX VH EXTERNAL SENDING BOX,Передающие карты/боксы,Напряжение:,5V,V,3.5V~6V,http://onbon.ru/product/sending-cards/bx-vh-external-sending-box,2026-03-28 15:51:18
ПЕР-BX_VH_EXTE-232,bx-vh-external-sending-box,BX VH EXTERNAL SENDING BOX,Передающие карты/боксы,Память:,4 Gb,,,http://onbon.ru/product/sending-cards/bx-vh-external-sending-box,2026-03-28 15:51:18
ПЕР-BX_VH_EXTE-232,bx-vh-external-sending-box,BX VH EXTERNAL SENDING BOX,Передающие карты/боксы,Память:,128 Mb,,,http://onbon.ru/product/sending-cards/bx-vh-external-sending-box,2026-03-28 15:51:18
ПЕР-BX_VH_EXTE-232,bx-vh-external-sending-box,BX VH EXTERNAL SENDING BOX,Передающие карты/боксы,Память:,512 Mb,,,http://onbon.ru/product/sending-cards/bx-vh-external-sending-box,2026-03-28 15:51:18
ПЕР-BX_VH_EXTE-920,bx-vh-external-sending-box,BX VH EXTERNAL SENDING BOX,Передающие карты/боксы,Площадь управления:,1280*1024 Максимальная,,,http://onbon.ru/product/sending-cards/bx-vh-external-sending-box,2026-03-28 15:51:18
ПЕР-BX_VH_EXTE-920,bx-vh-external-sending-box,BX VH EXTERNAL SENDING BOX,Передающие карты/боксы,Площадь управления:,"2048*128, 1024*256, 673*384, 512*512, 256*1024",,,http://onbon.ru/product/sending-cards/bx-vh-external-sending-box,2026-03-28 15:51:18
ПЕР-BX_VH_EXTE-920,bx-vh-external-sending-box,BX VH EXTERNAL SENDING BOX,Передающие карты/боксы,Площадь управления:,384*384,,,http://onbon.ru/product/sending-cards/bx-vh-external-sending-box,2026-03-28 15:51:18
ПЕР-BX_VH_EXTE-920,bx-vh-external-sending-box,BX VH EXTERNAL SENDING BOX,Передающие карты/боксы,Площадь управления:,1024*40 848*48 640*64 512*80 416*96 352*112 320*128 272*144 256*160,,,http://onbon.ru/product/sending-cards/bx-vh-external-sending-box,2026-03-28 15:51:18
ПЕР-BX_VH_EXTE-920,bx-vh-external-sending-box,BX VH EXTERNAL SENDING BOX,Передающие карты/боксы,Площадь управления:,"1024*64, 512*128, 336*192, 256*256",,,http://onbon.ru/product/sending-cards/bx-vh-external-sending-box,2026-03-28 15:51:18
