sku,slug,model,category,parameter,value,unit,notes,url,updated
ПЕР-BX_VHE_EXT-499,bx-vhe-external-sending-box-kopiya,BX VHE EXTERNAL SENDING BOX KOPIYA,Передающие карты/боксы,Внешняя память:,Max 4 Gb,,,http://onbon.ru/product/sending-cards/bx-vhe-external-sending-box-kopiya,2026-03-28 15:53:56
ПЕР-BX_VHE_EXT-420,bx-vhe-external-sending-box-kopiya,BX VHE EXTERNAL SENDING BOX KOPIYA,Передающие карты/боксы,Вывод звука:,"Есть, Jack 3.5 мм",mm,,http://onbon.ru/product/sending-cards/bx-vhe-external-sending-box-kopiya,2026-03-28 15:53:56
ПЕР-BX_VHE_EXT-456,bx-vhe-external-sending-box-kopiya,BX VHE EXTERNAL SENDING BOX KOPIYA,Передающие карты/боксы,Количество рядов и тип хаба:,12 разъемов T75,,,http://onbon.ru/product/sending-cards/bx-vhe-external-sending-box-kopiya,2026-03-28 15:53:56
ПЕР-BX_VHE_EXT-456,bx-vhe-external-sending-box-kopiya,BX VHE EXTERNAL SENDING BOX KOPIYA,Передающие карты/боксы,Количество рядов и тип хаба:,5 разъемов T75,,,http://onbon.ru/product/sending-cards/bx-vhe-external-sending-box-kopiya,2026-03-28 15:53:56
ПЕР-BX_VHE_EXT-456,bx-vhe-external-sending-box-kopiya,BX VHE EXTERNAL SENDING BOX KOPIYA,Передающие карты/боксы,Количество рядов и тип хаба:,2 разъема 50PIN,,,http://onbon.ru/product/sending-cards/bx-vhe-external-sending-box-kopiya,2026-03-28 15:53:56
ПЕР-BX_VHE_EXT-559,bx-vhe-external-sending-box-kopiya,BX VHE EXTERNAL SENDING BOX KOPIYA,Передающие карты/боксы,Конфигурация оборудования:,"Программное декодирование, Процессор 1GHz, 512MB DRAM",,,http://onbon.ru/product/sending-cards/bx-vhe-external-sending-box-kopiya,2026-03-28 15:53:56
ПЕР-BX_VHE_EXT-368,bx-vhe-external-sending-box-kopiya,BX VHE EXTERNAL SENDING BOX KOPIYA,Передающие карты/боксы,Максимальная высота:,Без ограничений,,,http://onbon.ru/product/sending-cards/bx-vhe-external-sending-box-kopiya,2026-03-28 15:53:56
ПЕР-BX_VHE_EXT-697,bx-vhe-external-sending-box-kopiya,BX VHE EXTERNAL SENDING BOX KOPIYA,Передающие карты/боксы,Максимальная длина:,Без ограничений,,,http://onbon.ru/product/sending-cards/bx-vhe-external-sending-box-kopiya,2026-03-28 15:53:56
ПЕР-BX_VHE_EXT-433,bx-vhe-external-sending-box-kopiya,BX VHE EXTERNAL SENDING BOX KOPIYA,Передающие карты/боксы,Максимальная мощность:,≤ 4 Вт,W,,http://onbon.ru/product/sending-cards/bx-vhe-external-sending-box-kopiya,2026-03-28 15:53:56
ПЕР-BX_VHE_EXT-433,bx-vhe-external-sending-box-kopiya,BX VHE EXTERNAL SENDING BOX KOPIYA,Передающие карты/боксы,Максимальная мощность:,"≤ 2,5 Вт",W,,http://onbon.ru/product/sending-cards/bx-vhe-external-sending-box-kopiya,2026-03-28 15:53:56
ПЕР-BX_VHE_EXT-224,bx-vhe-external-sending-box-kopiya,BX VHE EXTERNAL SENDING BOX KOPIYA,Передающие карты/боксы,Напряжение:,5V,V,"4~6,5V",http://onbon.ru/product/sending-cards/bx-vhe-external-sending-box-kopiya,2026-03-28 15:53:56
ПЕР-BX_VHE_EXT-224,bx-vhe-external-sending-box-kopiya,BX VHE EXTERNAL SENDING BOX KOPIYA,Передающие карты/боксы,Напряжение:,5V,V,4~6V,http://onbon.ru/product/sending-cards/bx-vhe-external-sending-box-kopiya,2026-03-28 15:53:56
ПЕР-BX_VHE_EXT-224,bx-vhe-external-sending-box-kopiya,BX VHE EXTERNAL SENDING BOX KOPIYA,Передающие карты/боксы,Напряжение:,5V,V,3.5V~6V,http://onbon.ru/product/sending-cards/bx-vhe-external-sending-box-kopiya,2026-03-28 15:53:56
ПЕР-BX_VHE_EXT-224,bx-vhe-external-sending-box-kopiya,BX VHE EXTERNAL SENDING BOX KOPIYA,Передающие карты/боксы,Напряжение:,5V,V,3.5V-6V,http://onbon.ru/product/sending-cards/bx-vhe-external-sending-box-kopiya,2026-03-28 15:53:56
ПЕР-BX_VHE_EXT-232,bx-vhe-external-sending-box-kopiya,BX VHE EXTERNAL SENDING BOX KOPIYA,Передающие карты/боксы,Память:,128 Mb,,,http://onbon.ru/product/sending-cards/bx-vhe-external-sending-box-kopiya,2026-03-28 15:53:56
ПЕР-BX_VHE_EXT-232,bx-vhe-external-sending-box-kopiya,BX VHE EXTERNAL SENDING BOX KOPIYA,Передающие карты/боксы,Память:,4 Gb,,,http://onbon.ru/product/sending-cards/bx-vhe-external-sending-box-kopiya,2026-03-28 15:53:56
ПЕР-BX_VHE_EXT-232,bx-vhe-external-sending-box-kopiya,BX VHE EXTERNAL SENDING BOX KOPIYA,Передающие карты/боксы,Память:,1 Gb,,,http://onbon.ru/product/sending-cards/bx-vhe-external-sending-box-kopiya,2026-03-28 15:53:56
ПЕР-BX_VHE_EXT-920,bx-vhe-external-sending-box-kopiya,BX VHE EXTERNAL SENDING BOX KOPIYA,Передающие карты/боксы,Площадь управления:,2560*1024 1280*2048 @60Hz; 2560*2048 @30Hz,Hz,,http://onbon.ru/product/sending-cards/bx-vhe-external-sending-box-kopiya,2026-03-28 15:53:56
ПЕР-BX_VHE_EXT-920,bx-vhe-external-sending-box-kopiya,BX VHE EXTERNAL SENDING BOX KOPIYA,Передающие карты/боксы,Площадь управления:,384*384,,,http://onbon.ru/product/sending-cards/bx-vhe-external-sending-box-kopiya,2026-03-28 15:53:56
ПЕР-BX_VHE_EXT-920,bx-vhe-external-sending-box-kopiya,BX VHE EXTERNAL SENDING BOX KOPIYA,Передающие карты/боксы,Площадь управления:,1024*40 848*48 640*64 512*80 416*96 352*112 320*128 272*144 256*160,,,http://onbon.ru/product/sending-cards/bx-vhe-external-sending-box-kopiya,2026-03-28 15:53:56
ПЕР-BX_VHE_EXT-920,bx-vhe-external-sending-box-kopiya,BX VHE EXTERNAL SENDING BOX KOPIYA,Передающие карты/боксы,Площадь управления:,"12288*32, 6144*64, 4096*96, 3072*128, 2048*192, 1024*384, 512*768, 384*1024",,,http://onbon.ru/product/sending-cards/bx-vhe-external-sending-box-kopiya,2026-03-28 15:53:56
