sku,slug,model,category,parameter,value,unit,notes,url,updated
ПЕР-BX_VS_SEND-499,bx-vs-sending-card,BX VS SENDING CARD,Передающие карты/боксы,Внешняя память:,Max 4Gb,,,http://onbon.ru/product/sending-cards/bx-vs-sending-card,2026-03-28 15:51:22
ПЕР-BX_VS_SEND-499,bx-vs-sending-card,BX VS SENDING CARD,Передающие карты/боксы,Внешняя память:,Max 4 Gb,,,http://onbon.ru/product/sending-cards/bx-vs-sending-card,2026-03-28 15:51:22
ПЕР-BX_VS_SEND-420,bx-vs-sending-card,BX VS SENDING CARD,Передающие карты/боксы,Вывод звука:,"Есть, Jack 3.5 мм",mm,,http://onbon.ru/product/sending-cards/bx-vs-sending-card,2026-03-28 15:51:22
ПЕР-BX_VS_SEND-456,bx-vs-sending-card,BX VS SENDING CARD,Передающие карты/боксы,Количество рядов и тип хаба:,12 разъемов T75,,,http://onbon.ru/product/sending-cards/bx-vs-sending-card,2026-03-28 15:51:22
ПЕР-BX_VS_SEND-456,bx-vs-sending-card,BX VS SENDING CARD,Передающие карты/боксы,Количество рядов и тип хаба:,2 разъема T75; 4 разъема T08,,,http://onbon.ru/product/sending-cards/bx-vs-sending-card,2026-03-28 15:51:22
ПЕР-BX_VS_SEND-456,bx-vs-sending-card,BX VS SENDING CARD,Передающие карты/боксы,Количество рядов и тип хаба:,2 разъема 50PIN,,,http://onbon.ru/product/sending-cards/bx-vs-sending-card,2026-03-28 15:51:22
ПЕР-BX_VS_SEND-559,bx-vs-sending-card,BX VS SENDING CARD,Передающие карты/боксы,Конфигурация оборудования:,"Программное декодирование, Процессор 1GHz, 512MB DRAM",,,http://onbon.ru/product/sending-cards/bx-vs-sending-card,2026-03-28 15:51:22
ПЕР-BX_VS_SEND-433,bx-vs-sending-card,BX VS SENDING CARD,Передающие карты/боксы,Максимальная мощность:,≤ 4 Вт,W,,http://onbon.ru/product/sending-cards/bx-vs-sending-card,2026-03-28 15:51:22
ПЕР-BX_VS_SEND-433,bx-vs-sending-card,BX VS SENDING CARD,Передающие карты/боксы,Максимальная мощность:,≤ 2 Вт,W,,http://onbon.ru/product/sending-cards/bx-vs-sending-card,2026-03-28 15:51:22
ПЕР-BX_VS_SEND-224,bx-vs-sending-card,BX VS SENDING CARD,Передающие карты/боксы,Напряжение:,5V,V,"4~6,5V",http://onbon.ru/product/sending-cards/bx-vs-sending-card,2026-03-28 15:51:22
ПЕР-BX_VS_SEND-224,bx-vs-sending-card,BX VS SENDING CARD,Передающие карты/боксы,Напряжение:,5V,V,3.5V~6V,http://onbon.ru/product/sending-cards/bx-vs-sending-card,2026-03-28 15:51:22
