sku,slug,model,category,parameter,value,unit,notes,url,updated
ПЕР-BX_VSE_EXT-456,bx-vse-external-sending-box,BX VSE EXTERNAL SENDING BOX,Передающие карты/боксы,Количество рядов и тип хаба:,8 разъемов T75,,,http://onbon.ru/product/sending-cards/bx-vse-external-sending-box,2026-03-28 15:54:29
ПЕР-BX_VSE_EXT-456,bx-vse-external-sending-box,BX VSE EXTERNAL SENDING BOX,Передающие карты/боксы,Количество рядов и тип хаба:,2 разъема 50PIN,,,http://onbon.ru/product/sending-cards/bx-vse-external-sending-box,2026-03-28 15:54:29
ПЕР-BX_VSE_EXT-406,bx-vse-external-sending-box,BX VSE EXTERNAL SENDING BOX,Передающие карты/боксы,Максимальная высота,Без ограничений,,,http://onbon.ru/product/sending-cards/bx-vse-external-sending-box,2026-03-28 15:54:29
ПЕР-BX_VSE_EXT-986,bx-vse-external-sending-box,BX VSE EXTERNAL SENDING BOX,Передающие карты/боксы,Максимальная длина,Без ограничений,,,http://onbon.ru/product/sending-cards/bx-vse-external-sending-box,2026-03-28 15:54:29
ПЕР-BX_VSE_EXT-433,bx-vse-external-sending-box,BX VSE EXTERNAL SENDING BOX,Передающие карты/боксы,Максимальная мощность:,≤ 4 Вт,W,,http://onbon.ru/product/sending-cards/bx-vse-external-sending-box,2026-03-28 15:54:29
ПЕР-BX_VSE_EXT-224,bx-vse-external-sending-box,BX VSE EXTERNAL SENDING BOX,Передающие карты/боксы,Напряжение:,5V,V,"4~6,5V",http://onbon.ru/product/sending-cards/bx-vse-external-sending-box,2026-03-28 15:54:29
ПЕР-BX_VSE_EXT-224,bx-vse-external-sending-box,BX VSE EXTERNAL SENDING BOX,Передающие карты/боксы,Напряжение:,5V,V,3.5V-6V,http://onbon.ru/product/sending-cards/bx-vse-external-sending-box,2026-03-28 15:54:29
ПЕР-BX_VSE_EXT-224,bx-vse-external-sending-box,BX VSE EXTERNAL SENDING BOX,Передающие карты/боксы,Напряжение:,5V,V,4~6V,http://onbon.ru/product/sending-cards/bx-vse-external-sending-box,2026-03-28 15:54:29
ПЕР-BX_VSE_EXT-232,bx-vse-external-sending-box,BX VSE EXTERNAL SENDING BOX,Передающие карты/боксы,Память:,512 Mb,,,http://onbon.ru/product/sending-cards/bx-vse-external-sending-box,2026-03-28 15:54:29
ПЕР-BX_VSE_EXT-920,bx-vse-external-sending-box,BX VSE EXTERNAL SENDING BOX,Передающие карты/боксы,Площадь управления:,1280*1024 @60Hz; 1280*2048 @30Hz,Hz,,http://onbon.ru/product/sending-cards/bx-vse-external-sending-box,2026-03-28 15:54:29
ПЕР-BX_VSE_EXT-920,bx-vse-external-sending-box,BX VSE EXTERNAL SENDING BOX,Передающие карты/боксы,Площадь управления:,"1024*128, 672*192, 512*256, 336*384, 256*512",,,http://onbon.ru/product/sending-cards/bx-vse-external-sending-box,2026-03-28 15:54:29
ПЕР-BX_VSE_EXT-920,bx-vse-external-sending-box,BX VSE EXTERNAL SENDING BOX,Передающие карты/боксы,Площадь управления:,384*256,,,http://onbon.ru/product/sending-cards/bx-vse-external-sending-box,2026-03-28 15:54:29
ПЕР-BX_VSE_EXT-920,bx-vse-external-sending-box,BX VSE EXTERNAL SENDING BOX,Передающие карты/боксы,Площадь управления:,1280*1024,,,http://onbon.ru/product/sending-cards/bx-vse-external-sending-box,2026-03-28 15:54:29
ПЕР-BX_VSE_EXT-558,bx-vse-external-sending-box,BX VSE EXTERNAL SENDING BOX,Передающие карты/боксы,Поддержка датчиков:,"Температура, Температура и влажность, ИК, Датчик яркости",,,http://onbon.ru/product/sending-cards/bx-vse-external-sending-box,2026-03-28 15:54:29
ПЕР-BX_VSE_EXT-778,bx-vse-external-sending-box,BX VSE EXTERNAL SENDING BOX,Передающие карты/боксы,Принимающие карты:,BX-V (2 шт. 50 PIN) / BX-V75 (12 шт. 15 T75) / BX-V75L,,8 шт. 15 T75,http://onbon.ru/product/sending-cards/bx-vse-external-sending-box,2026-03-28 15:54:29
ПЕР-BX_VSE_EXT-942,bx-vse-external-sending-box,BX VSE EXTERNAL SENDING BOX,Передающие карты/боксы,Режим соединения:,"Ethernet, USB, 3GW",,CDMA,http://onbon.ru/product/sending-cards/bx-vse-external-sending-box,2026-03-28 15:54:29
ПЕР-BX_VSE_EXT-495,bx-vse-external-sending-box,BX VSE EXTERNAL SENDING BOX,Передающие карты/боксы,Тип поддерживаемых модулей:,Полноцветные,,,http://onbon.ru/product/sending-cards/bx-vse-external-sending-box,2026-03-28 15:54:29
