sku,slug,model,category,parameter,value,unit,notes,url,updated
КОН-BX_Y2L-499,bx-y2l,BX Y2L,Контроллеры YQ-серии,Внешняя память:,Max 256 Gb,,,http://onbon.ru/product/controllers-yq/bx-y2l,2026-03-28 15:54:42
КОН-BX_Y2L-499,bx-y2l,BX Y2L,Контроллеры YQ-серии,Внешняя память:,Max 4Gb,,,http://onbon.ru/product/controllers-yq/bx-y2l,2026-03-28 15:54:42
КОН-BX_Y2L-420,bx-y2l,BX Y2L,Контроллеры YQ-серии,Вывод звука:,"Есть, Jack 3.5 мм",mm,,http://onbon.ru/product/controllers-yq/bx-y2l,2026-03-28 15:54:42
КОН-BX_Y2L-456,bx-y2l,BX Y2L,Контроллеры YQ-серии,Количество рядов и тип хаба:,BX-V / BX-V75 / BX-V75L,,,http://onbon.ru/product/controllers-yq/bx-y2l,2026-03-28 15:54:42
КОН-BX_Y2L-456,bx-y2l,BX Y2L,Контроллеры YQ-серии,Количество рядов и тип хаба:,2 разъема 50PIN,,,http://onbon.ru/product/controllers-yq/bx-y2l,2026-03-28 15:54:42
КОН-BX_Y2L-456,bx-y2l,BX Y2L,Контроллеры YQ-серии,Количество рядов и тип хаба:,12 разъемов T75,,,http://onbon.ru/product/controllers-yq/bx-y2l,2026-03-28 15:54:42
КОН-BX_Y2L-559,bx-y2l,BX Y2L,Контроллеры YQ-серии,Конфигурация оборудования:,"Процессор dual-core 1GHz, 512MB DRAM",,,http://onbon.ru/product/controllers-yq/bx-y2l,2026-03-28 15:54:42
КОН-BX_Y2L-559,bx-y2l,BX Y2L,Контроллеры YQ-серии,Конфигурация оборудования:,"Программное декодирование, Процессор 1GHz, 512MB DRAM",,,http://onbon.ru/product/controllers-yq/bx-y2l,2026-03-28 15:54:42
КОН-BX_Y2L-433,bx-y2l,BX Y2L,Контроллеры YQ-серии,Максимальная мощность:,≤ 10 Вт,W,,http://onbon.ru/product/controllers-yq/bx-y2l,2026-03-28 15:54:42
КОН-BX_Y2L-433,bx-y2l,BX Y2L,Контроллеры YQ-серии,Максимальная мощность:,≤ 4 Вт,W,,http://onbon.ru/product/controllers-yq/bx-y2l,2026-03-28 15:54:42
КОН-BX_Y2L-224,bx-y2l,BX Y2L,Контроллеры YQ-серии,Напряжение:,5V,V,4.5V~6V,http://onbon.ru/product/controllers-yq/bx-y2l,2026-03-28 15:54:42
КОН-BX_Y2L-224,bx-y2l,BX Y2L,Контроллеры YQ-серии,Напряжение:,5V,V,4~6V,http://onbon.ru/product/controllers-yq/bx-y2l,2026-03-28 15:54:42
КОН-BX_Y2L-224,bx-y2l,BX Y2L,Контроллеры YQ-серии,Напряжение:,5V,V,3.5V~6V,http://onbon.ru/product/controllers-yq/bx-y2l,2026-03-28 15:54:42
КОН-BX_Y2L-224,bx-y2l,BX Y2L,Контроллеры YQ-серии,Напряжение:,5V,V,"4~6,5V",http://onbon.ru/product/controllers-yq/bx-y2l,2026-03-28 15:54:42
КОН-BX_Y2L-232,bx-y2l,BX Y2L,Контроллеры YQ-серии,Память:,4 Gb,,,http://onbon.ru/product/controllers-yq/bx-y2l,2026-03-28 15:54:42
КОН-BX_Y2L-232,bx-y2l,BX Y2L,Контроллеры YQ-серии,Память:,1 Gb,,,http://onbon.ru/product/controllers-yq/bx-y2l,2026-03-28 15:54:42
КОН-BX_Y2L-920,bx-y2l,BX Y2L,Контроллеры YQ-серии,Площадь управления:,256K: 1024*256,,"W≤4096, H≤2048",http://onbon.ru/product/controllers-yq/bx-y2l,2026-03-28 15:54:42
КОН-BX_Y2L-920,bx-y2l,BX Y2L,Контроллеры YQ-серии,Площадь управления:,384*256,,,http://onbon.ru/product/controllers-yq/bx-y2l,2026-03-28 15:54:42
КОН-BX_Y2L-920,bx-y2l,BX Y2L,Контроллеры YQ-серии,Площадь управления:,384*384,,,http://onbon.ru/product/controllers-yq/bx-y2l,2026-03-28 15:54:42
КОН-BX_Y2L-920,bx-y2l,BX Y2L,Контроллеры YQ-серии,Площадь управления:,1280*1024 Максимальная,,,http://onbon.ru/product/controllers-yq/bx-y2l,2026-03-28 15:54:42
КОН-BX_Y2L-920,bx-y2l,BX Y2L,Контроллеры YQ-серии,Площадь управления:,1280*1024,,,http://onbon.ru/product/controllers-yq/bx-y2l,2026-03-28 15:54:42
КОН-BX_Y2L-558,bx-y2l,BX Y2L,Контроллеры YQ-серии,Поддержка датчиков:,"Температура, Температура и влажность, ИК пульт, Датчик яркости",,,http://onbon.ru/product/controllers-yq/bx-y2l,2026-03-28 15:54:42
КОН-BX_Y2L-778,bx-y2l,BX Y2L,Контроллеры YQ-серии,Принимающие карты:,BX-V (2 шт. 50 PIN) / BX-V75 (12 шт. 15 T75) / BX-V75L,,8 шт. 15 T75,http://onbon.ru/product/controllers-yq/bx-y2l,2026-03-28 15:54:42
КОН-BX_Y2L-942,bx-y2l,BX Y2L,Контроллеры YQ-серии,Режим соединения:,"Ethernet, USB-port, iLEDCloud",,,http://onbon.ru/product/controllers-yq/bx-y2l,2026-03-28 15:54:42
КОН-BX_Y2L-942,bx-y2l,BX Y2L,Контроллеры YQ-серии,Режим соединения:,"Ethernet, USB-port, SD",,,http://onbon.ru/product/controllers-yq/bx-y2l,2026-03-28 15:54:42
КОН-BX_Y2L-495,bx-y2l,BX Y2L,Контроллеры YQ-серии,Тип поддерживаемых модулей:,Полноцветные,,,http://onbon.ru/product/controllers-yq/bx-y2l,2026-03-28 15:54:42
