sku,slug,model,category,parameter,value,unit,notes,url,updated
КОН-BX_Y3-499,bx-y3,BX Y3,Контроллеры YQ-серии,Внешняя память:,Max 256 Gb,,,http://onbon.ru/product/controllers-yq/bx-y3,2026-03-28 15:54:47
КОН-BX_Y3-499,bx-y3,BX Y3,Контроллеры YQ-серии,Внешняя память:,Max 4 Gb,,,http://onbon.ru/product/controllers-yq/bx-y3,2026-03-28 15:54:47
КОН-BX_Y3-420,bx-y3,BX Y3,Контроллеры YQ-серии,Вывод звука:,"Есть, Jack 3.5 мм",mm,,http://onbon.ru/product/controllers-yq/bx-y3,2026-03-28 15:54:47
КОН-BX_Y3-456,bx-y3,BX Y3,Контроллеры YQ-серии,Количество рядов и тип хаба:,BX-V / BX-V75 / BX-V75L,,,http://onbon.ru/product/controllers-yq/bx-y3,2026-03-28 15:54:47
КОН-BX_Y3-456,bx-y3,BX Y3,Контроллеры YQ-серии,Количество рядов и тип хаба:,2 разъема 50PIN,,,http://onbon.ru/product/controllers-yq/bx-y3,2026-03-28 15:54:47
КОН-BX_Y3-456,bx-y3,BX Y3,Контроллеры YQ-серии,Количество рядов и тип хаба:,12 разъемов T75,,,http://onbon.ru/product/controllers-yq/bx-y3,2026-03-28 15:54:47
КОН-BX_Y3-456,bx-y3,BX Y3,Контроллеры YQ-серии,Количество рядов и тип хаба:,8 разъемов T75,,,http://onbon.ru/product/controllers-yq/bx-y3,2026-03-28 15:54:47
КОН-BX_Y3-559,bx-y3,BX Y3,Контроллеры YQ-серии,Конфигурация оборудования:,"Процессор dual-core 1GHz, 512MB DRAM",,,http://onbon.ru/product/controllers-yq/bx-y3,2026-03-28 15:54:47
КОН-BX_Y3-559,bx-y3,BX Y3,Контроллеры YQ-серии,Конфигурация оборудования:,"Программное декодирование, Процессор 1GHz, 512MB DRAM",,,http://onbon.ru/product/controllers-yq/bx-y3,2026-03-28 15:54:47
КОН-BX_Y3-433,bx-y3,BX Y3,Контроллеры YQ-серии,Максимальная мощность:,≤ 10 Вт,W,,http://onbon.ru/product/controllers-yq/bx-y3,2026-03-28 15:54:47
КОН-BX_Y3-433,bx-y3,BX Y3,Контроллеры YQ-серии,Максимальная мощность:,≤ 4 Вт,W,,http://onbon.ru/product/controllers-yq/bx-y3,2026-03-28 15:54:47
КОН-BX_Y3-224,bx-y3,BX Y3,Контроллеры YQ-серии,Напряжение:,5V,V,4.5V~6V,http://onbon.ru/product/controllers-yq/bx-y3,2026-03-28 15:54:47
КОН-BX_Y3-224,bx-y3,BX Y3,Контроллеры YQ-серии,Напряжение:,5V,V,3.5V~6V,http://onbon.ru/product/controllers-yq/bx-y3,2026-03-28 15:54:47
КОН-BX_Y3-224,bx-y3,BX Y3,Контроллеры YQ-серии,Напряжение:,5V,V,4~6V,http://onbon.ru/product/controllers-yq/bx-y3,2026-03-28 15:54:47
КОН-BX_Y3-224,bx-y3,BX Y3,Контроллеры YQ-серии,Напряжение:,5V,V,3.5V-6V,http://onbon.ru/product/controllers-yq/bx-y3,2026-03-28 15:54:47
КОН-BX_Y3-232,bx-y3,BX Y3,Контроллеры YQ-серии,Память:,4 Gb,,,http://onbon.ru/product/controllers-yq/bx-y3,2026-03-28 15:54:47
КОН-BX_Y3-232,bx-y3,BX Y3,Контроллеры YQ-серии,Память:,1 Gb,,,http://onbon.ru/product/controllers-yq/bx-y3,2026-03-28 15:54:47
КОН-BX_Y3-232,bx-y3,BX Y3,Контроллеры YQ-серии,Память:,512 Mb,,,http://onbon.ru/product/controllers-yq/bx-y3,2026-03-28 15:54:47
КОН-BX_Y3-920,bx-y3,BX Y3,Контроллеры YQ-серии,Площадь управления:,1280K: 1280*1024,,"W≤16384, H≤2048",http://onbon.ru/product/controllers-yq/bx-y3,2026-03-28 15:54:47
КОН-BX_Y3-920,bx-y3,BX Y3,Контроллеры YQ-серии,Площадь управления:,384*256,,,http://onbon.ru/product/controllers-yq/bx-y3,2026-03-28 15:54:47
КОН-BX_Y3-920,bx-y3,BX Y3,Контроллеры YQ-серии,Площадь управления:,384*384,,,http://onbon.ru/product/controllers-yq/bx-y3,2026-03-28 15:54:47
КОН-BX_Y3-920,bx-y3,BX Y3,Контроллеры YQ-серии,Площадь управления:,"1024*128, 672*192, 512*256, 336*384, 256*512",,,http://onbon.ru/product/controllers-yq/bx-y3,2026-03-28 15:54:47
КОН-BX_Y3-558,bx-y3,BX Y3,Контроллеры YQ-серии,Поддержка датчиков:,"Температура, Температура и влажность, ИК пульт, Датчик яркости",,,http://onbon.ru/product/controllers-yq/bx-y3,2026-03-28 15:54:47
КОН-BX_Y3-558,bx-y3,BX Y3,Контроллеры YQ-серии,Поддержка датчиков:,"Температура, Температура и влажность, ИК, Датчик яркости",,,http://onbon.ru/product/controllers-yq/bx-y3,2026-03-28 15:54:47
КОН-BX_Y3-942,bx-y3,BX Y3,Контроллеры YQ-серии,Режим соединения:,"Ethernet, USB-port, iLEDCloud",,,http://onbon.ru/product/controllers-yq/bx-y3,2026-03-28 15:54:47
КОН-BX_Y3-942,bx-y3,BX Y3,Контроллеры YQ-серии,Режим соединения:,"Ethernet, USB-port, SD",,,http://onbon.ru/product/controllers-yq/bx-y3,2026-03-28 15:54:47
КОН-BX_Y3-942,bx-y3,BX Y3,Контроллеры YQ-серии,Режим соединения:,"Ethernet, USB, 3GW",,CDMA,http://onbon.ru/product/controllers-yq/bx-y3,2026-03-28 15:54:47
КОН-BX_Y3-495,bx-y3,BX Y3,Контроллеры YQ-серии,Тип поддерживаемых модулей:,Полноцветные,,,http://onbon.ru/product/controllers-yq/bx-y3,2026-03-28 15:54:47
