sku,slug,model,category,parameter,value,unit,notes,url,updated
КОН-BX_YQ1-499,bx-yq1,BX YQ1,Контроллеры YQ-серии,Внешняя память:,Max 4 Gb,,,http://onbon.ru/product/controllers-yq/bx-yq1,2026-03-28 15:51:28
КОН-BX_YQ1-420,bx-yq1,BX YQ1,Контроллеры YQ-серии,Вывод звука:,"Есть, Jack 3.5 мм",mm,,http://onbon.ru/product/controllers-yq/bx-yq1,2026-03-28 15:51:28
КОН-BX_YQ1-456,bx-yq1,BX YQ1,Контроллеры YQ-серии,Количество рядов и тип хаба:,2 разъема 50PIN,,,http://onbon.ru/product/controllers-yq/bx-yq1,2026-03-28 15:51:28
КОН-BX_YQ1-456,bx-yq1,BX YQ1,Контроллеры YQ-серии,Количество рядов и тип хаба:,8 разъемов T75,,,http://onbon.ru/product/controllers-yq/bx-yq1,2026-03-28 15:51:28
КОН-BX_YQ1-456,bx-yq1,BX YQ1,Контроллеры YQ-серии,Количество рядов и тип хаба:,12 разъемов T75,,,http://onbon.ru/product/controllers-yq/bx-yq1,2026-03-28 15:51:28
КОН-BX_YQ1-559,bx-yq1,BX YQ1,Контроллеры YQ-серии,Конфигурация оборудования:,"Программное декодирование, Процессор 1GHz, 512MB DRAM",,,http://onbon.ru/product/controllers-yq/bx-yq1,2026-03-28 15:51:28
КОН-BX_YQ1-368,bx-yq1,BX YQ1,Контроллеры YQ-серии,Максимальная высота:,Без ограничений,,,http://onbon.ru/product/controllers-yq/bx-yq1,2026-03-28 15:51:28
КОН-BX_YQ1-697,bx-yq1,BX YQ1,Контроллеры YQ-серии,Максимальная длина:,Без ограничений,,,http://onbon.ru/product/controllers-yq/bx-yq1,2026-03-28 15:51:28
КОН-BX_YQ1-433,bx-yq1,BX YQ1,Контроллеры YQ-серии,Максимальная мощность:,≤ 4 Вт,W,,http://onbon.ru/product/controllers-yq/bx-yq1,2026-03-28 15:51:28
КОН-BX_YQ1-224,bx-yq1,BX YQ1,Контроллеры YQ-серии,Напряжение:,5V,V,3.5V~6V,http://onbon.ru/product/controllers-yq/bx-yq1,2026-03-28 15:51:28
КОН-BX_YQ1-224,bx-yq1,BX YQ1,Контроллеры YQ-серии,Напряжение:,5V,V,"4~6,5V",http://onbon.ru/product/controllers-yq/bx-yq1,2026-03-28 15:51:28
КОН-BX_YQ1-224,bx-yq1,BX YQ1,Контроллеры YQ-серии,Напряжение:,5V,V,4~6V,http://onbon.ru/product/controllers-yq/bx-yq1,2026-03-28 15:51:28
КОН-BX_YQ1-224,bx-yq1,BX YQ1,Контроллеры YQ-серии,Напряжение:,5V,V,3.5V-6V,http://onbon.ru/product/controllers-yq/bx-yq1,2026-03-28 15:51:28
КОН-BX_YQ1-232,bx-yq1,BX YQ1,Контроллеры YQ-серии,Память:,1 Gb,,,http://onbon.ru/product/controllers-yq/bx-yq1,2026-03-28 15:51:28
КОН-BX_YQ1-232,bx-yq1,BX YQ1,Контроллеры YQ-серии,Память:,512 Mb,,,http://onbon.ru/product/controllers-yq/bx-yq1,2026-03-28 15:51:28
КОН-BX_YQ1-920,bx-yq1,BX YQ1,Контроллеры YQ-серии,Площадь управления:,384*256,,,http://onbon.ru/product/controllers-yq/bx-yq1,2026-03-28 15:51:28
КОН-BX_YQ1-920,bx-yq1,BX YQ1,Контроллеры YQ-серии,Площадь управления:,2560*1024 1280*2048 @60Hz; 2560*2048 @30Hz,Hz,,http://onbon.ru/product/controllers-yq/bx-yq1,2026-03-28 15:51:28
КОН-BX_YQ1-920,bx-yq1,BX YQ1,Контроллеры YQ-серии,Площадь управления:,"1024*192, 768*256, 512*384, 384*512, 256*768",,,http://onbon.ru/product/controllers-yq/bx-yq1,2026-03-28 15:51:28
КОН-BX_YQ1-558,bx-yq1,BX YQ1,Контроллеры YQ-серии,Поддержка датчиков:,"Температура, Температура и влажность, ИК пульт, Датчик яркости",,,http://onbon.ru/product/controllers-yq/bx-yq1,2026-03-28 15:51:28
КОН-BX_YQ1-558,bx-yq1,BX YQ1,Контроллеры YQ-серии,Поддержка датчиков:,"Температура, Температура и влажность, ИК, Датчик яркости",,,http://onbon.ru/product/controllers-yq/bx-yq1,2026-03-28 15:51:28
КОН-BX_YQ1-778,bx-yq1,BX YQ1,Контроллеры YQ-серии,Принимающие карты:,BX-V (2 шт. 50 PIN) / BX-V75 (12 шт. 15 T75) / BX-V75L,,8 шт. 15 T75,http://onbon.ru/product/controllers-yq/bx-yq1,2026-03-28 15:51:28
КОН-BX_YQ1-942,bx-yq1,BX YQ1,Контроллеры YQ-серии,Режим соединения:,"Ethernet, USB-port, SD",,,http://onbon.ru/product/controllers-yq/bx-yq1,2026-03-28 15:51:28
КОН-BX_YQ1-942,bx-yq1,BX YQ1,Контроллеры YQ-серии,Режим соединения:,"Ethernet, USB, 3GW",,CDMA,http://onbon.ru/product/controllers-yq/bx-yq1,2026-03-28 15:51:28
КОН-BX_YQ1-495,bx-yq1,BX YQ1,Контроллеры YQ-серии,Тип поддерживаемых модулей:,Полноцветные,,,http://onbon.ru/product/controllers-yq/bx-yq1,2026-03-28 15:51:28
