sku,slug,model,category,parameter,value,unit,notes,url,updated
КОН-BX_YQ1G_75-499,bx-yq1g-75-wifi,BX YQ1G 75 WIFI,Контроллеры YQ-серии,Внешняя память:,Max 4Gb,,,http://onbon.ru/product/controllers-yq/bx-yq1g-75-wifi,2026-03-28 15:54:51
КОН-BX_YQ1G_75-420,bx-yq1g-75-wifi,BX YQ1G 75 WIFI,Контроллеры YQ-серии,Вывод звука:,"Есть, Jack 3.5 мм",mm,,http://onbon.ru/product/controllers-yq/bx-yq1g-75-wifi,2026-03-28 15:54:51
КОН-BX_YQ1G_75-456,bx-yq1g-75-wifi,BX YQ1G 75 WIFI,Контроллеры YQ-серии,Количество рядов и тип хаба:,12 разъемов T75,,,http://onbon.ru/product/controllers-yq/bx-yq1g-75-wifi,2026-03-28 15:54:51
КОН-BX_YQ1G_75-456,bx-yq1g-75-wifi,BX YQ1G 75 WIFI,Контроллеры YQ-серии,Количество рядов и тип хаба:,8 разъемов T75,,,http://onbon.ru/product/controllers-yq/bx-yq1g-75-wifi,2026-03-28 15:54:51
КОН-BX_YQ1G_75-559,bx-yq1g-75-wifi,BX YQ1G 75 WIFI,Контроллеры YQ-серии,Конфигурация оборудования:,"Программное декодирование, Процессор 1GHz, 512MB DRAM",,,http://onbon.ru/product/controllers-yq/bx-yq1g-75-wifi,2026-03-28 15:54:51
КОН-BX_YQ1G_75-433,bx-yq1g-75-wifi,BX YQ1G 75 WIFI,Контроллеры YQ-серии,Максимальная мощность:,≤ 4 Вт,W,,http://onbon.ru/product/controllers-yq/bx-yq1g-75-wifi,2026-03-28 15:54:51
КОН-BX_YQ1G_75-224,bx-yq1g-75-wifi,BX YQ1G 75 WIFI,Контроллеры YQ-серии,Напряжение:,5V,V,3.5V~6V,http://onbon.ru/product/controllers-yq/bx-yq1g-75-wifi,2026-03-28 15:54:51
КОН-BX_YQ1G_75-224,bx-yq1g-75-wifi,BX YQ1G 75 WIFI,Контроллеры YQ-серии,Напряжение:,5V,V,3.5V-6V,http://onbon.ru/product/controllers-yq/bx-yq1g-75-wifi,2026-03-28 15:54:51
КОН-BX_YQ1G_75-224,bx-yq1g-75-wifi,BX YQ1G 75 WIFI,Контроллеры YQ-серии,Напряжение:,5V,V,4~6V,http://onbon.ru/product/controllers-yq/bx-yq1g-75-wifi,2026-03-28 15:54:51
КОН-BX_YQ1G_75-232,bx-yq1g-75-wifi,BX YQ1G 75 WIFI,Контроллеры YQ-серии,Память:,4 Gb,,,http://onbon.ru/product/controllers-yq/bx-yq1g-75-wifi,2026-03-28 15:54:51
КОН-BX_YQ1G_75-232,bx-yq1g-75-wifi,BX YQ1G 75 WIFI,Контроллеры YQ-серии,Память:,512 Mb,,,http://onbon.ru/product/controllers-yq/bx-yq1g-75-wifi,2026-03-28 15:54:51
КОН-BX_YQ1G_75-232,bx-yq1g-75-wifi,BX YQ1G 75 WIFI,Контроллеры YQ-серии,Память:,1 Gb,,,http://onbon.ru/product/controllers-yq/bx-yq1g-75-wifi,2026-03-28 15:54:51
