sku,slug,model,category,parameter,value,unit,notes,url,updated
КОН-BX_YQ2A-499,bx-yq2a,BX YQ2A,Контроллеры YQ-серии,Внешняя память:,Max 4 Gb,,,http://onbon.ru/product/controllers-yq/bx-yq2a,2026-03-28 15:54:13
КОН-BX_YQ2A-420,bx-yq2a,BX YQ2A,Контроллеры YQ-серии,Вывод звука:,"Есть, Jack 3.5 мм",mm,,http://onbon.ru/product/controllers-yq/bx-yq2a,2026-03-28 15:54:13
КОН-BX_YQ2A-172,bx-yq2a,BX YQ2A,Контроллеры YQ-серии,Количество видео зон,2,,"1 зона 1080p, 1 зона 720p",http://onbon.ru/product/controllers-yq/bx-yq2a,2026-03-28 15:54:13
КОН-BX_YQ2A-456,bx-yq2a,BX YQ2A,Контроллеры YQ-серии,Количество рядов и тип хаба:,BX-V / BX-V75 / BX-V75L,,,http://onbon.ru/product/controllers-yq/bx-yq2a,2026-03-28 15:54:13
КОН-BX_YQ2A-456,bx-yq2a,BX YQ2A,Контроллеры YQ-серии,Количество рядов и тип хаба:,2 разъема 50PIN,,,http://onbon.ru/product/controllers-yq/bx-yq2a,2026-03-28 15:54:13
КОН-BX_YQ2A-456,bx-yq2a,BX YQ2A,Контроллеры YQ-серии,Количество рядов и тип хаба:,8 разъемов T75,,,http://onbon.ru/product/controllers-yq/bx-yq2a,2026-03-28 15:54:13
КОН-BX_YQ2A-559,bx-yq2a,BX YQ2A,Контроллеры YQ-серии,Конфигурация оборудования:,"Аппаратное декодирование, Процессор 1.2GHz, 1GB DRAM",,,http://onbon.ru/product/controllers-yq/bx-yq2a,2026-03-28 15:54:13
КОН-BX_YQ2A-559,bx-yq2a,BX YQ2A,Контроллеры YQ-серии,Конфигурация оборудования:,"Программное декодирование, Процессор 1GHz, 512MB DRAM",,,http://onbon.ru/product/controllers-yq/bx-yq2a,2026-03-28 15:54:13
КОН-BX_YQ2A-433,bx-yq2a,BX YQ2A,Контроллеры YQ-серии,Максимальная мощность:,≤ 4 Вт,W,,http://onbon.ru/product/controllers-yq/bx-yq2a,2026-03-28 15:54:13
КОН-BX_YQ2A-224,bx-yq2a,BX YQ2A,Контроллеры YQ-серии,Напряжение:,5V,V,3.5V~6V,http://onbon.ru/product/controllers-yq/bx-yq2a,2026-03-28 15:54:13
