sku,slug,model,category,parameter,value,unit,notes,url,updated
КОН-BX_YQ3AE-153,bx-yq3ae,BX YQ3AE,Контроллеры YQ-серии,Видео интерфейсы:,"2 входных канала (1 DVI и 1 CV), 1 DVI выходной канал",V,,http://onbon.ru/product/controllers-yq/bx-yq3ae,2026-03-28 15:54:20
КОН-BX_YQ3AE-499,bx-yq3ae,BX YQ3AE,Контроллеры YQ-серии,Внешняя память:,Max 4 Gb,,,http://onbon.ru/product/controllers-yq/bx-yq3ae,2026-03-28 15:54:20
КОН-BX_YQ3AE-420,bx-yq3ae,BX YQ3AE,Контроллеры YQ-серии,Вывод звука:,"Есть, Jack 3.5 мм",mm,,http://onbon.ru/product/controllers-yq/bx-yq3ae,2026-03-28 15:54:20
КОН-BX_YQ3AE-172,bx-yq3ae,BX YQ3AE,Контроллеры YQ-серии,Количество видео зон,2,,"1 зона 1080p, 1 зона 720p",http://onbon.ru/product/controllers-yq/bx-yq3ae,2026-03-28 15:54:20
КОН-BX_YQ3AE-456,bx-yq3ae,BX YQ3AE,Контроллеры YQ-серии,Количество рядов и тип хаба:,BX-V / BX-V75 / BX-V75L,,,http://onbon.ru/product/controllers-yq/bx-yq3ae,2026-03-28 15:54:20
КОН-BX_YQ3AE-456,bx-yq3ae,BX YQ3AE,Контроллеры YQ-серии,Количество рядов и тип хаба:,12 разъемов T75,,,http://onbon.ru/product/controllers-yq/bx-yq3ae,2026-03-28 15:54:20
КОН-BX_YQ3AE-456,bx-yq3ae,BX YQ3AE,Контроллеры YQ-серии,Количество рядов и тип хаба:,2 разъема 50PIN,,,http://onbon.ru/product/controllers-yq/bx-yq3ae,2026-03-28 15:54:20
КОН-BX_YQ3AE-559,bx-yq3ae,BX YQ3AE,Контроллеры YQ-серии,Конфигурация оборудования:,"Аппаратное декодирование, Процессор 1.2GHz, 1GB DRAM",,,http://onbon.ru/product/controllers-yq/bx-yq3ae,2026-03-28 15:54:20
КОН-BX_YQ3AE-368,bx-yq3ae,BX YQ3AE,Контроллеры YQ-серии,Максимальная высота:,Без ограничений,,,http://onbon.ru/product/controllers-yq/bx-yq3ae,2026-03-28 15:54:20
КОН-BX_YQ3AE-697,bx-yq3ae,BX YQ3AE,Контроллеры YQ-серии,Максимальная длина:,Без ограничений,,,http://onbon.ru/product/controllers-yq/bx-yq3ae,2026-03-28 15:54:20
КОН-BX_YQ3AE-433,bx-yq3ae,BX YQ3AE,Контроллеры YQ-серии,Максимальная мощность:,≤ 4 Вт,W,,http://onbon.ru/product/controllers-yq/bx-yq3ae,2026-03-28 15:54:20
КОН-BX_YQ3AE-224,bx-yq3ae,BX YQ3AE,Контроллеры YQ-серии,Напряжение:,5V,V,3.5V~6V,http://onbon.ru/product/controllers-yq/bx-yq3ae,2026-03-28 15:54:20
КОН-BX_YQ3AE-224,bx-yq3ae,BX YQ3AE,Контроллеры YQ-серии,Напряжение:,5V,V,3.5V-6V,http://onbon.ru/product/controllers-yq/bx-yq3ae,2026-03-28 15:54:20
КОН-BX_YQ3AE-224,bx-yq3ae,BX YQ3AE,Контроллеры YQ-серии,Напряжение:,5V,V,4~6V,http://onbon.ru/product/controllers-yq/bx-yq3ae,2026-03-28 15:54:20
