sku,slug,model,category,parameter,value,unit,notes,url,updated
КОН-BX_YQ5E-153,bx-yq5e,BX YQ5E,Контроллеры YQ-серии,Видео интерфейсы:,"2 входных канала (1 DVI и 1 CV), 1 DVI выходной канал",V,,http://onbon.ru/product/controllers-yq/bx-yq5e,2026-03-28 15:54:53
КОН-BX_YQ5E-499,bx-yq5e,BX YQ5E,Контроллеры YQ-серии,Внешняя память:,Max 4 Gb,,,http://onbon.ru/product/controllers-yq/bx-yq5e,2026-03-28 15:54:53
КОН-BX_YQ5E-420,bx-yq5e,BX YQ5E,Контроллеры YQ-серии,Вывод звука:,"Есть, Jack 3.5 мм",mm,,http://onbon.ru/product/controllers-yq/bx-yq5e,2026-03-28 15:54:53
КОН-BX_YQ5E-172,bx-yq5e,BX YQ5E,Контроллеры YQ-серии,Количество видео зон,2,,"1 зона 1080p, 1 зона 720p",http://onbon.ru/product/controllers-yq/bx-yq5e,2026-03-28 15:54:53
КОН-BX_YQ5E-456,bx-yq5e,BX YQ5E,Контроллеры YQ-серии,Количество рядов и тип хаба:,BX-V / BX-V75 / BX-V75L,,,http://onbon.ru/product/controllers-yq/bx-yq5e,2026-03-28 15:54:53
КОН-BX_YQ5E-456,bx-yq5e,BX YQ5E,Контроллеры YQ-серии,Количество рядов и тип хаба:,2 разъема T75; 4 разъема T08,,,http://onbon.ru/product/controllers-yq/bx-yq5e,2026-03-28 15:54:53
КОН-BX_YQ5E-456,bx-yq5e,BX YQ5E,Контроллеры YQ-серии,Количество рядов и тип хаба:,12 разъемов T75,,,http://onbon.ru/product/controllers-yq/bx-yq5e,2026-03-28 15:54:53
КОН-BX_YQ5E-559,bx-yq5e,BX YQ5E,Контроллеры YQ-серии,Конфигурация оборудования:,"Аппаратное декодирование, Процессор dual-core 1.2GHz, 1GB DRAM",,,http://onbon.ru/product/controllers-yq/bx-yq5e,2026-03-28 15:54:53
КОН-BX_YQ5E-368,bx-yq5e,BX YQ5E,Контроллеры YQ-серии,Максимальная высота:,Без ограничений,,,http://onbon.ru/product/controllers-yq/bx-yq5e,2026-03-28 15:54:53
КОН-BX_YQ5E-697,bx-yq5e,BX YQ5E,Контроллеры YQ-серии,Максимальная длина:,Без ограничений,,,http://onbon.ru/product/controllers-yq/bx-yq5e,2026-03-28 15:54:53
КОН-BX_YQ5E-433,bx-yq5e,BX YQ5E,Контроллеры YQ-серии,Максимальная мощность:,≤ 4 Вт,W,,http://onbon.ru/product/controllers-yq/bx-yq5e,2026-03-28 15:54:53
