sku,slug,model,category,parameter,value,unit,notes,url,updated
ВИД-OVP_L1-652,ovp-l1,OVP L1,Видеопроцессоры,CV,2,,,http://onbon.ru/product/videoprocessory/ovp-l1,2026-03-28 15:54:22
ВИД-OVP_L1-843,ovp-l1,OVP L1,Видеопроцессоры,DVI,1,,,http://onbon.ru/product/videoprocessory/ovp-l1,2026-03-28 15:54:22
ВИД-OVP_L1-137,ovp-l1,OVP L1,Видеопроцессоры,Ethernet,2,,,http://onbon.ru/product/videoprocessory/ovp-l1,2026-03-28 15:54:22
ВИД-OVP_L1-709,ovp-l1,OVP L1,Видеопроцессоры,HDMI,1,,,http://onbon.ru/product/videoprocessory/ovp-l1,2026-03-28 15:54:22
ВИД-OVP_L1-153,ovp-l1,OVP L1,Видеопроцессоры,Видео интерфейсы:,"Входные: 2 CV, 1 DVI, 1 HDMI; Выходные: 1 DVI, 2 Ethernet",,,http://onbon.ru/product/videoprocessory/ovp-l1,2026-03-28 15:54:22
ВИД-OVP_L1-153,ovp-l1,OVP L1,Видеопроцессоры,Видео интерфейсы:,"Входные: 2 CV, 1 DVI, 1 VGA, 1 HDMI, 1 SDI ; Выходные: 1 SDI, 1 DVI, 2 Ethernet",V,,http://onbon.ru/product/videoprocessory/ovp-l1,2026-03-28 15:54:22
ВИД-OVP_L1-153,ovp-l1,OVP L1,Видеопроцессоры,Видео интерфейсы:,"Входные: 2 CV, 1 DVI, 1 VGA, 1 HDMI, SDI ; Выходные: 1 SDI, 2 DVI, 4 Ethernet",V,,http://onbon.ru/product/videoprocessory/ovp-l1,2026-03-28 15:54:22
ВИД-OVP_L1-718,ovp-l1,OVP L1,Видеопроцессоры,Входное напряжение,100-240V~ 50/60Hz,V,,http://onbon.ru/product/videoprocessory/ovp-l1,2026-03-28 15:54:22
ВИД-OVP_L1-321,ovp-l1,OVP L1,Видеопроцессоры,Допустимая влажность,15-85%,%,,http://onbon.ru/product/videoprocessory/ovp-l1,2026-03-28 15:54:22
ВИД-OVP_L1-495,ovp-l1,OVP L1,Видеопроцессоры,Интерфейс,Кол-во,,,http://onbon.ru/product/videoprocessory/ovp-l1,2026-03-28 15:54:22
ВИД-OVP_L1-834,ovp-l1,OVP L1,Видеопроцессоры,Кол-во пикселей,1300K пикселей; 1280*1024 @60Hz,Hz,,http://onbon.ru/product/videoprocessory/ovp-l1,2026-03-28 15:54:22
ВИД-OVP_L1-270,ovp-l1,OVP L1,Видеопроцессоры,Макс. высота,1024,,,http://onbon.ru/product/videoprocessory/ovp-l1,2026-03-28 15:54:22
ВИД-OVP_L1-949,ovp-l1,OVP L1,Видеопроцессоры,Макс. длина,2048,,,http://onbon.ru/product/videoprocessory/ovp-l1,2026-03-28 15:54:22
ВИД-OVP_L1-920,ovp-l1,OVP L1,Видеопроцессоры,Площадь управления:,1300K пикселей: 1280*1024 @60Hz,Hz,W≤2048 ; H≥1024,http://onbon.ru/product/videoprocessory/ovp-l1,2026-03-28 15:54:22
ВИД-OVP_L1-920,ovp-l1,OVP L1,Видеопроцессоры,Площадь управления:,1300K пикселей; 1280*1024 @60Hz,Hz,W≤2048; H≥1024,http://onbon.ru/product/videoprocessory/ovp-l1,2026-03-28 15:54:22
ВИД-OVP_L1-920,ovp-l1,OVP L1,Видеопроцессоры,Площадь управления:,2600K пикселей; 2560*1024 @60Hz,Hz,W≤3840; H≥1920,http://onbon.ru/product/videoprocessory/ovp-l1,2026-03-28 15:54:22
ВИД-OVP_L1-924,ovp-l1,OVP L1,Видеопроцессоры,Потребляемая мощность,≤15W,W,,http://onbon.ru/product/videoprocessory/ovp-l1,2026-03-28 15:54:22
ВИД-OVP_L1-884,ovp-l1,OVP L1,Видеопроцессоры,Рабочая температура,-20—55℃,°C,,http://onbon.ru/product/videoprocessory/ovp-l1,2026-03-28 15:54:22
ВИД-OVP_L1-138,ovp-l1,OVP L1,Видеопроцессоры,Размер,mm×mm×mm,,,http://onbon.ru/product/videoprocessory/ovp-l1,2026-03-28 15:54:22
ВИД-OVP_L1-990,ovp-l1,OVP L1,Видеопроцессоры,Способы управления,"Кнопки на видеопроцессоре, ИК пульт, Программа Ledshow",,,http://onbon.ru/product/videoprocessory/ovp-l1,2026-03-28 15:54:22
