sku,slug,model,category,parameter,value,unit,notes,url,updated
ВИД-OVP_M3-652,ovp-m3,OVP M3,Видеопроцессоры,CV,2,,,http://onbon.ru/product/videoprocessory/ovp-m3,2026-03-28 15:54:55
ВИД-OVP_M3-843,ovp-m3,OVP M3,Видеопроцессоры,DVI,1,,,http://onbon.ru/product/videoprocessory/ovp-m3,2026-03-28 15:54:55
ВИД-OVP_M3-843,ovp-m3,OVP M3,Видеопроцессоры,DVI,2,,,http://onbon.ru/product/videoprocessory/ovp-m3,2026-03-28 15:54:55
ВИД-OVP_M3-709,ovp-m3,OVP M3,Видеопроцессоры,HDMI,1,,,http://onbon.ru/product/videoprocessory/ovp-m3,2026-03-28 15:54:55
ВИД-OVP_M3-147,ovp-m3,OVP M3,Видеопроцессоры,SDI (Модуль),1,,,http://onbon.ru/product/videoprocessory/ovp-m3,2026-03-28 15:54:55
ВИД-OVP_M3-389,ovp-m3,OVP M3,Видеопроцессоры,SDI LOOP,1,,,http://onbon.ru/product/videoprocessory/ovp-m3,2026-03-28 15:54:55
ВИД-OVP_M3-393,ovp-m3,OVP M3,Видеопроцессоры,VGA,1,,,http://onbon.ru/product/videoprocessory/ovp-m3,2026-03-28 15:54:55
ВИД-OVP_M3-197,ovp-m3,OVP M3,Видеопроцессоры,Вес,5.18Kg,kg,,http://onbon.ru/product/videoprocessory/ovp-m3,2026-03-28 15:54:55
ВИД-OVP_M3-153,ovp-m3,OVP M3,Видеопроцессоры,Видео интерфейсы:,"Входные: 2 CV, 1 DVI, 1 VGA, 1 HDMI, SDI ; Выходные: 1 SDI, 2 DVI, 4 Ethernet",V,,http://onbon.ru/product/videoprocessory/ovp-m3,2026-03-28 15:54:55
ВИД-OVP_M3-153,ovp-m3,OVP M3,Видеопроцессоры,Видео интерфейсы:,"Входные: 2 CV, 1 DVI, 1 VGA, 1 HDMI, 1 SDI ; Выходные: 1 SDI, 1 DVI, 2 Ethernet",V,,http://onbon.ru/product/videoprocessory/ovp-m3,2026-03-28 15:54:55
ВИД-OVP_M3-153,ovp-m3,OVP M3,Видеопроцессоры,Видео интерфейсы:,"Входные: 2 CV, 1 DVI, 1 HDMI; Выходные: 1 DVI, 2 Ethernet",,,http://onbon.ru/product/videoprocessory/ovp-m3,2026-03-28 15:54:55
ВИД-OVP_M3-718,ovp-m3,OVP M3,Видеопроцессоры,Входное напряжение,100-240V~ 50/60Hz,V,,http://onbon.ru/product/videoprocessory/ovp-m3,2026-03-28 15:54:55
ВИД-OVP_M3-321,ovp-m3,OVP M3,Видеопроцессоры,Допустимая влажность,15-85%,%,,http://onbon.ru/product/videoprocessory/ovp-m3,2026-03-28 15:54:55
ВИД-OVP_M3-834,ovp-m3,OVP M3,Видеопроцессоры,Кол-во пикселей,2600Kпикселей;2560*1024 @60Hz,Hz,,http://onbon.ru/product/videoprocessory/ovp-m3,2026-03-28 15:54:55
ВИД-OVP_M3-270,ovp-m3,OVP M3,Видеопроцессоры,Макс. высота,1920,,,http://onbon.ru/product/videoprocessory/ovp-m3,2026-03-28 15:54:55
ВИД-OVP_M3-949,ovp-m3,OVP M3,Видеопроцессоры,Макс. длина,3840,,,http://onbon.ru/product/videoprocessory/ovp-m3,2026-03-28 15:54:55
ВИД-OVP_M3-920,ovp-m3,OVP M3,Видеопроцессоры,Площадь управления:,2600K пикселей; 2560*1024 @60Hz,Hz,W≤3840; H≥1920,http://onbon.ru/product/videoprocessory/ovp-m3,2026-03-28 15:54:55
ВИД-OVP_M3-920,ovp-m3,OVP M3,Видеопроцессоры,Площадь управления:,1300K пикселей; 1280*1024 @60Hz,Hz,W≤2048; H≥1024,http://onbon.ru/product/videoprocessory/ovp-m3,2026-03-28 15:54:55
ВИД-OVP_M3-920,ovp-m3,OVP M3,Видеопроцессоры,Площадь управления:,1300K пикселей: 1280*1024 @60Hz,Hz,W≤2048 ; H≥1024,http://onbon.ru/product/videoprocessory/ovp-m3,2026-03-28 15:54:55
ВИД-OVP_M3-924,ovp-m3,OVP M3,Видеопроцессоры,Потребляемая мощность,≤20W,W,,http://onbon.ru/product/videoprocessory/ovp-m3,2026-03-28 15:54:55
ВИД-OVP_M3-884,ovp-m3,OVP M3,Видеопроцессоры,Рабочая температура,-20—55℃,°C,,http://onbon.ru/product/videoprocessory/ovp-m3,2026-03-28 15:54:55
ВИД-OVP_M3-282,ovp-m3,OVP M3,Видеопроцессоры,Размеры,482.6mm（Ш）×300mm（Г）×66.6mm（В）,mm,,http://onbon.ru/product/videoprocessory/ovp-m3,2026-03-28 15:54:55
ВИД-OVP_M3-080,ovp-m3,OVP M3,Видеопроцессоры,Разъем,Кол-во,,,http://onbon.ru/product/videoprocessory/ovp-m3,2026-03-28 15:54:55
ВИД-OVP_M3-990,ovp-m3,OVP M3,Видеопроцессоры,Способы управления,"Keys on Video Processor, IR controller, Ledshow software",,,http://onbon.ru/product/videoprocessory/ovp-m3,2026-03-28 15:54:55
