sku,slug,model,category,parameter,value,unit,notes,url,updated
ПЕР-X_U2L-456,x-u2l,X U2L,Передающие карты/боксы,Количество рядов и тип хаба:,2 разъема T12; 1 разъем T08,,,http://onbon.ru/product/sending-cards/x-u2l,2026-03-28 15:55:00
ПЕР-X_U2L-456,x-u2l,X U2L,Передающие карты/боксы,Количество рядов и тип хаба:,4 разъема T12; 2 разъема T08,,,http://onbon.ru/product/sending-cards/x-u2l,2026-03-28 15:55:00
ПЕР-X_U2L-433,x-u2l,X U2L,Передающие карты/боксы,Максимальная мощность:,≤2 Вт,W,,http://onbon.ru/product/sending-cards/x-u2l,2026-03-28 15:55:00
ПЕР-X_U2L-433,x-u2l,X U2L,Передающие карты/боксы,Максимальная мощность:,≤2.5 Вт,W,,http://onbon.ru/product/sending-cards/x-u2l,2026-03-28 15:55:00
ПЕР-X_U2L-433,x-u2l,X U2L,Передающие карты/боксы,Максимальная мощность:,≤ 1.8 Вт,W,,http://onbon.ru/product/sending-cards/x-u2l,2026-03-28 15:55:00
ПЕР-X_U2L-224,x-u2l,X U2L,Передающие карты/боксы,Напряжение:,5V,V,3.5V~6V,http://onbon.ru/product/sending-cards/x-u2l,2026-03-28 15:55:00
ПЕР-X_U2L-224,x-u2l,X U2L,Передающие карты/боксы,Напряжение:,5V,V,4.5V~6V,http://onbon.ru/product/sending-cards/x-u2l,2026-03-28 15:55:00
ПЕР-X_U2L-232,x-u2l,X U2L,Передающие карты/боксы,Память:,2 Mb,,,http://onbon.ru/product/sending-cards/x-u2l,2026-03-28 15:55:00
ПЕР-X_U2L-232,x-u2l,X U2L,Передающие карты/боксы,Память:,4 Mb,,,http://onbon.ru/product/sending-cards/x-u2l,2026-03-28 15:55:00
ПЕР-X_U2L-920,x-u2l,X U2L,Передающие карты/боксы,Площадь управления:,Один цвет 16K: 1024*16 512*32; Два цвета 16K: 512*32 256*32,,,http://onbon.ru/product/sending-cards/x-u2l,2026-03-28 15:55:00
ПЕР-X_U2L-920,x-u2l,X U2L,Передающие карты/боксы,Площадь управления:,Один цвет 512*256,,,http://onbon.ru/product/sending-cards/x-u2l,2026-03-28 15:55:00
ПЕР-X_U2L-920,x-u2l,X U2L,Передающие карты/боксы,Площадь управления:,Один цвет 2048*128 1344*192 1024*256; Два цвета 2048*128 1344*192 1024*256,,,http://onbon.ru/product/sending-cards/x-u2l,2026-03-28 15:55:00
ПЕР-X_U2L-920,x-u2l,X U2L,Передающие карты/боксы,Площадь управления:,Один цвет 2048*16 1024*32 672*48 512*64; Два цвета 1024*16 512*32 336*48 256*64,,,http://onbon.ru/product/sending-cards/x-u2l,2026-03-28 15:55:00
ПЕР-X_U2L-920,x-u2l,X U2L,Передающие карты/боксы,Площадь управления:,Один цвет 1024*16 512*32; Два цвета 512*16 256*32,,,http://onbon.ru/product/sending-cards/x-u2l,2026-03-28 15:55:00
ПЕР-X_U2L-558,x-u2l,X U2L,Передающие карты/боксы,Поддержка датчиков:,"Температура, Температура и влажность, ИК",,,http://onbon.ru/product/sending-cards/x-u2l,2026-03-28 15:55:00
ПЕР-X_U2L-942,x-u2l,X U2L,Передающие карты/боксы,Режим соединения:,USB,,,http://onbon.ru/product/sending-cards/x-u2l,2026-03-28 15:55:00
ПЕР-X_U2L-942,x-u2l,X U2L,Передающие карты/боксы,Режим соединения:,RS232/USB ближний беспроводной,,,http://onbon.ru/product/sending-cards/x-u2l,2026-03-28 15:55:00
ПЕР-X_U2L-942,x-u2l,X U2L,Передающие карты/боксы,Режим соединения:,Ethernet,,,http://onbon.ru/product/sending-cards/x-u2l,2026-03-28 15:55:00
ПЕР-X_U2L-495,x-u2l,X U2L,Передающие карты/боксы,Тип поддерживаемых модулей:,Все монохромные и двухцветные,,,http://onbon.ru/product/sending-cards/x-u2l,2026-03-28 15:55:00
