sku,slug,model,category,parameter,value,unit,notes,url,updated
ПЕР-X_U4-456,x-u4,X U4,Передающие карты/боксы,Количество рядов и тип хаба:,4 разъема T12; 2 разъема T08,,,http://onbon.ru/product/sending-cards/x-u4,2026-03-28 15:55:20
ПЕР-X_U4-433,x-u4,X U4,Передающие карты/боксы,Максимальная мощность:,≤2 Вт,W,,http://onbon.ru/product/sending-cards/x-u4,2026-03-28 15:55:20
ПЕР-X_U4-433,x-u4,X U4,Передающие карты/боксы,Максимальная мощность:,≤1.8 Вт,W,,http://onbon.ru/product/sending-cards/x-u4,2026-03-28 15:55:20
ПЕР-X_U4-433,x-u4,X U4,Передающие карты/боксы,Максимальная мощность:,≤2.5 Вт,W,,http://onbon.ru/product/sending-cards/x-u4,2026-03-28 15:55:20
ПЕР-X_U4-224,x-u4,X U4,Передающие карты/боксы,Напряжение:,5V,V,3.5V~6V,http://onbon.ru/product/sending-cards/x-u4,2026-03-28 15:55:20
ПЕР-X_U4-224,x-u4,X U4,Передающие карты/боксы,Напряжение:,5V,V,4.5V~6V,http://onbon.ru/product/sending-cards/x-u4,2026-03-28 15:55:20
ПЕР-X_U4-232,x-u4,X U4,Передающие карты/боксы,Память:,2 Mb,,,http://onbon.ru/product/sending-cards/x-u4,2026-03-28 15:55:20
ПЕР-X_U4-232,x-u4,X U4,Передающие карты/боксы,Память:,4 Mb,,,http://onbon.ru/product/sending-cards/x-u4,2026-03-28 15:55:20
ПЕР-X_U4-920,x-u4,X U4,Передающие карты/боксы,Площадь управления:,Один цвет 100K: 3200*32 2112*48 1600*64; Два цвета 50K: 1600*32 1056*48 800*64,,,http://onbon.ru/product/sending-cards/x-u4,2026-03-28 15:55:20
ПЕР-X_U4-920,x-u4,X U4,Передающие карты/боксы,Площадь управления:,Один цвет 2048*64 1024*128 672*192 512*256; Два цвета 1024*64 512*128 336*192 256*256,,,http://onbon.ru/product/sending-cards/x-u4,2026-03-28 15:55:20
ПЕР-X_U4-920,x-u4,X U4,Передающие карты/боксы,Площадь управления:,Один цвет 3200*32 2048*64 1344*96 1024*128; Два цвета 2048*32 1024*64 672*96 512*128,,,http://onbon.ru/product/sending-cards/x-u4,2026-03-28 15:55:20
ПЕР-X_U4-920,x-u4,X U4,Передающие карты/боксы,Площадь управления:,Один цвет 2048*128 1344*192 1024*256; Два цвета 2048*128 1344*192 1024*256,,,http://onbon.ru/product/sending-cards/x-u4,2026-03-28 15:55:20
ПЕР-X_U4-558,x-u4,X U4,Передающие карты/боксы,Поддержка датчиков:,"Температура, Температура и влажность, ИК",,,http://onbon.ru/product/sending-cards/x-u4,2026-03-28 15:55:20
ПЕР-X_U4-942,x-u4,X U4,Передающие карты/боксы,Режим соединения:,USB,,,http://onbon.ru/product/sending-cards/x-u4,2026-03-28 15:55:20
ПЕР-X_U4-942,x-u4,X U4,Передающие карты/боксы,Режим соединения:,Ethernet,,,http://onbon.ru/product/sending-cards/x-u4,2026-03-28 15:55:20
ПЕР-X_U4-942,x-u4,X U4,Передающие карты/боксы,Режим соединения:,RS232/USB ближний беспроводной,,,http://onbon.ru/product/sending-cards/x-u4,2026-03-28 15:55:20
ПЕР-X_U4-495,x-u4,X U4,Передающие карты/боксы,Тип поддерживаемых модулей:,Все монохромные и двухцветные,,,http://onbon.ru/product/sending-cards/x-u4,2026-03-28 15:55:20
