sku,slug,model,category,parameter,value,unit,notes,url,updated
ПЕР-X_W4L-456,x-w4l,X W4L,Передающие карты/боксы,Количество рядов и тип хаба:,4 разъема T12; 2 разъема T08,,,http://onbon.ru/product/sending-cards/x-w4l,2026-03-28 15:55:24
ПЕР-X_W4L-433,x-w4l,X W4L,Передающие карты/боксы,Максимальная мощность:,≤2 Вт,W,,http://onbon.ru/product/sending-cards/x-w4l,2026-03-28 15:55:24
ПЕР-X_W4L-433,x-w4l,X W4L,Передающие карты/боксы,Максимальная мощность:,≤1.8 Вт,W,,http://onbon.ru/product/sending-cards/x-w4l,2026-03-28 15:55:24
ПЕР-X_W4L-433,x-w4l,X W4L,Передающие карты/боксы,Максимальная мощность:,≤ 1.8 Вт,W,,http://onbon.ru/product/sending-cards/x-w4l,2026-03-28 15:55:24
ПЕР-X_W4L-224,x-w4l,X W4L,Передающие карты/боксы,Напряжение:,5V,V,3.5V~6V,http://onbon.ru/product/sending-cards/x-w4l,2026-03-28 15:55:24
ПЕР-X_W4L-224,x-w4l,X W4L,Передающие карты/боксы,Напряжение:,5V,V,4.5V~6V,http://onbon.ru/product/sending-cards/x-w4l,2026-03-28 15:55:24
ПЕР-X_W4L-232,x-w4l,X W4L,Передающие карты/боксы,Память:,2 Mb,,,http://onbon.ru/product/sending-cards/x-w4l,2026-03-28 15:55:24
ПЕР-X_W4L-920,x-w4l,X W4L,Передающие карты/боксы,Площадь управления:,Один цвет 64K: 3200*16 2048*32 1344*48 1024*64; Два цвета 32K: 1600*16 1024*32 672*48 512*64,,,http://onbon.ru/product/sending-cards/x-w4l,2026-03-28 15:55:24
ПЕР-X_W4L-920,x-w4l,X W4L,Передающие карты/боксы,Площадь управления:,Один цвет 3200*16 3200*32 2688*48 2048*64; Два цвета 3200*16 2048*32 1344*48 1024*64,,,http://onbon.ru/product/sending-cards/x-w4l,2026-03-28 15:55:24
ПЕР-X_W4L-920,x-w4l,X W4L,Передающие карты/боксы,Площадь управления:,Один цвет 3200*16 2048*32 1344*48 1024*64; Два цвета 1600*16 1024*32 672*48 512*64,,,http://onbon.ru/product/sending-cards/x-w4l,2026-03-28 15:55:24
ПЕР-X_W4L-920,x-w4l,X W4L,Передающие карты/боксы,Площадь управления:,Один цвет 3200*32 2112*48 1600*64; Два цвета 1600*32 1056*48 800*64,,,http://onbon.ru/product/sending-cards/x-w4l,2026-03-28 15:55:24
ПЕР-X_W4L-920,x-w4l,X W4L,Передающие карты/боксы,Площадь управления:,Один цвет 2048*16 1024*32 672*48 512*64; Два цвета 1024*16 512*32 336*48 256*64,,,http://onbon.ru/product/sending-cards/x-w4l,2026-03-28 15:55:24
ПЕР-X_W4L-558,x-w4l,X W4L,Передающие карты/боксы,Поддержка датчиков:,"Температура, Температура и влажность, ИК",,,http://onbon.ru/product/sending-cards/x-w4l,2026-03-28 15:55:24
ПЕР-X_W4L-942,x-w4l,X W4L,Передающие карты/боксы,Режим соединения:,"USB, WiFi",W,,http://onbon.ru/product/sending-cards/x-w4l,2026-03-28 15:55:24
ПЕР-X_W4L-942,x-w4l,X W4L,Передающие карты/боксы,Режим соединения:,Ethernet,,,http://onbon.ru/product/sending-cards/x-w4l,2026-03-28 15:55:24
ПЕР-X_W4L-942,x-w4l,X W4L,Передающие карты/боксы,Режим соединения:,USB,,,http://onbon.ru/product/sending-cards/x-w4l,2026-03-28 15:55:24
ПЕР-X_W4L-495,x-w4l,X W4L,Передающие карты/боксы,Тип поддерживаемых модулей:,Все монохромные и двухцветные,,,http://onbon.ru/product/sending-cards/x-w4l,2026-03-28 15:55:24
